# data from ifeffit
#------------------------
#   energy    j0        j         xmu
  7197.7267        184086.00        56451.098        1.1820283
  7199.6673        183381.00        56716.102        1.1735078
  7201.6090        183029.00        57108.103        1.1646986
  7203.5518        182898.00        57519.097        1.1568116
  7205.4959        182500.00        57846.102        1.1489641
  7207.4411        182146.00        58166.097        1.1415059
  7209.3876        181787.00        58378.097        1.1358949
  7211.3352        181462.00        58536.100        1.1314026
  7213.2840        181139.00        58605.098        1.1284430
  7215.2339        180672.00        58553.100        1.1267492
  7217.1851        180354.00        58496.100        1.1259615
  7219.1375        180083.00        58450.097        1.1252445
  7221.0910        179750.00        58337.102        1.1253287
  7223.0457        179458.00        58246.098        1.1252641
  7225.0017        179150.00        58204.103        1.1242676
  7226.9588        178790.00        58210.097        1.1221531
  7228.9171        178478.00        58337.099        1.1182271
  7230.8766        178144.00        58524.099        1.1131536
  7232.8373        177775.00        58773.102        1.1068344
  7234.7992        177518.00        59083.099        1.1001271
  7236.7623        177066.00        59400.102        1.0922266
  7238.7266        176743.00        59733.100        1.0848104
  7240.6920        176404.00        60093.100        1.0768818
  7242.6587        176150.00        60474.102        1.0691207
  7244.6266        175824.00        60738.101        1.0629123
  7246.5957        175487.00        60907.101        1.0582152
  7248.5660        175164.00        60941.097        1.0558149
  7250.5375        174866.00        60864.097        1.0553765
  7252.5102        174561.00        60724.100        1.0559336
  7254.4841        174258.00        60519.103        1.0575779
  7256.4592        173961.00        60258.102        1.0601941
  7258.4356        173743.00        60008.103        1.0630976
  7260.4131        173494.00        59733.101        1.0662567
  7262.3918        173200.00        59484.103        1.0687379
  7264.3718        172873.00        59251.099        1.0707729
  7266.3530        172561.00        59096.098        1.0715859
  7268.3354        172166.00        58955.099        1.0716830
  7270.3190        171862.00        58903.100        1.0707981
  7272.3038        171517.00        58877.098        1.0692302
  7274.2898        171222.00        58882.101        1.0674238
  7276.2771        170902.00        58912.099        1.0650438
  7278.2655        170629.00        59011.103        1.0617660
  7280.2552        170251.00        59095.100        1.0581258
  7282.2461        169998.00        59243.097        1.0541374
  7284.2383        169556.00        59374.097        1.0493252
  7286.2316        169279.00        59614.101        1.0436561
  7288.2262        168911.00        59824.098        1.0379634
  7290.2220        168653.00        60108.103        1.0316987
  7292.2191        168385.00        60372.103        1.0257259
  7294.2173        168052.00        60621.102        1.0196304
  7296.2168        167776.00        60851.098        1.0141999
  7298.2175        167443.00        61039.097        1.0091284
  7300.2195        167155.00        61204.103        1.0047073
  7302.2227        166719.00        61319.099        1.0002184
  7304.2271        166492.00        61480.100       0.99623372
  7306.2327        166158.00        61578.100       0.99263286
  7308.2396        165888.00        61687.100       0.98923803
  7310.2478        165533.00        61761.100       0.98589685
  7312.2571        165218.00        61797.100       0.98340938
  7314.2677        164902.00        61809.100       0.98130076
  7316.2796        164551.00        61778.100       0.97967162
  7318.2927        164215.00        61750.100       0.97808095
  7320.3070        163870.00        61691.100       0.97693376
  7322.3226        163617.00        61665.100       0.97581020
  7324.3394        163293.00        61615.100       0.97463916
  7326.3574        162987.00        61601.100       0.97299072
  7328.3767        162645.00        61577.100       0.97127986
  7330.3973        162298.00        61584.100       0.96903043
  7332.4191        161975.00        61627.100       0.96634029
  7334.4421        161723.00        61724.100       0.96321054
  7336.4664        161335.00        61783.100       0.95985308
  7338.4920        161105.00        61939.100       0.95590468
  7340.5188        160791.00        62062.100       0.95196989
  7342.5469        160500.00        62189.100       0.94811420
  7344.5762        160114.00        62309.100       0.94377858
  7346.6067        159805.00        62446.100       0.93965054
  7348.6386        159475.00        62596.100       0.93518419
