# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  3.0372820       0.25067417       0.30598348       0.13311927E-02   0.30698811       0.22968658       0.30392421
  3.0679616       0.21938095       0.25584466       0.11994865E-02   0.25684939       0.13555911       0.22178276
  3.0986412       0.19525158       0.21198711       0.11049295E-02   0.21299726       0.36382459E-01   0.12845134
  3.1293208       0.17620740       0.17427003       0.10388966E-02   0.17527956      -0.47453039E-01   0.45150528E-01
  3.1600004       0.16044105       0.14231211       0.99524894E-03   0.14330599      -0.10496113      -0.16590105E-01
  3.1906800       0.14655786       0.11556331       0.97033533E-03   0.11652172      -0.13289689      -0.53902407E-01
  3.2213597       0.13358594       0.93376781E-01   0.96265712E-03   0.94279248E-01  -0.13353361      -0.69719185E-01
  3.2520393       0.12094837       0.75075630E-01   0.97194779E-03   0.75903729E-01  -0.11293285      -0.69704917E-01
  3.2827189       0.10843966       0.60009057E-01   0.99784331E-03   0.60747171E-01  -0.79528745E-01  -0.59952323E-01
  3.3133985       0.96202345E-01   0.47593086E-01   0.10388168E-02   0.48227760E-01  -0.42423404E-01  -0.45692370E-01
  3.3440781       0.84691747E-01   0.37332862E-01   0.10919625E-02   0.37852157E-01  -0.92675809E-02  -0.30803639E-01
  3.3747577       0.74625795E-01   0.28827132E-01   0.11535435E-02   0.29221540E-01   0.15640951E-01  -0.17782381E-01
  3.4054373       0.66908159E-01   0.21759513E-01   0.12197006E-02   0.22025752E-01   0.32102462E-01  -0.79202481E-02
  3.4361170       0.62466622E-01   0.15883947E-01   0.12868098E-02   0.16033008E-01   0.43090130E-01  -0.15628633E-02
  3.4667966       0.61942524E-01   0.11012862E-01   0.13514288E-02   0.11086101E-01   0.52491850E-01   0.16058333E-02
  3.4974762       0.65376554E-01   0.70198711E-02   0.14101145E-02   0.71290392E-02   0.62556181E-01   0.22915616E-02
  3.5281558       0.72224353E-01   0.39019349E-02   0.14594384E-02   0.43501630E-02   0.72224060E-01   0.13633929E-02
  3.5588354       0.81670420E-01   0.21945097E-02   0.14963366E-02   0.34631110E-02   0.77105400E-01  -0.31222785E-03
  3.5895150       0.92871346E-01   0.28669769E-02   0.15186798E-02   0.43999092E-02   0.71154759E-01  -0.19866839E-02
  3.6201947       0.10500463       0.43107643E-02   0.15257899E-02   0.57891840E-02   0.49438604E-01  -0.31110249E-02
  3.6508743       0.11723630       0.55806881E-02   0.15186292E-02   0.70208581E-02   0.10965340E-01  -0.33881444E-02
  3.6815539       0.12870303       0.65401231E-02   0.14995202E-02   0.79615348E-02  -0.39556634E-01  -0.27815751E-02
  3.7122335       0.13853518       0.71911570E-02   0.14714497E-02   0.86031166E-02  -0.91920745E-01  -0.14680398E-02
  3.7429131       0.14591479       0.75719008E-02   0.14372072E-02   0.89767001E-02  -0.13286214       0.25644810E-03
