# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  4.2031074       0.18820968       0.45892445E-03  -0.60387347E-01  -0.45710275E-03
  4.2337870       0.20899580       0.50133492E-03   0.18765535E-01  -0.45765375E-03
  4.2644666       0.22716826       0.54388232E-03   0.10664846      -0.40628179E-03
  4.2951462       0.24253514       0.58749943E-03   0.18596039      -0.31179189E-03
  4.3258258       0.25516281       0.63107982E-03   0.24197565      -0.18122341E-03
  4.3565054       0.26527260       0.67040146E-03   0.26503231      -0.21553456E-04
  4.3871851       0.27314707       0.69849989E-03   0.25145535       0.15329874E-03
  4.4178647       0.27906023       0.70774811E-03   0.20329662       0.31881970E-03
  4.4485443       0.28324327       0.69283474E-03   0.12741045       0.44582166E-03
  4.4792239       0.28588648       0.65359991E-03   0.34181529E-01   0.51390457E-03
  4.5099035       0.28716546       0.59694222E-03  -0.64009981E-01   0.52322599E-03
  4.5405831       0.28727144       0.53692185E-03  -0.15452473       0.49529400E-03
  4.5712627       0.28642474       0.49109956E-03  -0.22617413       0.46100313E-03
  4.6019424       0.28485830       0.47105084E-03  -0.27054446       0.44351459E-03
  4.6326220       0.28277160       0.47311685E-03  -0.28268384       0.44754576E-03
  4.6633016       0.28026994       0.48265141E-03  -0.26122709       0.46200657E-03
  4.6939812       0.27731421       0.48793659E-03  -0.20832477       0.47314967E-03
  4.7246608       0.27370605       0.48909561E-03  -0.12971806       0.47787449E-03
  4.7553404       0.26912096       0.49797194E-03  -0.34911891E-01   0.48716124E-03
  4.7860201       0.26318367       0.52913456E-03   0.63083922E-01   0.51738272E-03
  4.8166997       0.25556405       0.58646762E-03   0.14913370       0.57641756E-03
  4.8473793       0.24606676       0.65922286E-03   0.20874770       0.65515780E-03
  4.8780589       0.23469215       0.73066224E-03   0.23168559       0.73064709E-03
  4.9087385       0.22165619       0.78725684E-03   0.21508008       0.77833213E-03
  4.9394181       0.20736812       0.82260024E-03   0.16463661       0.78452860E-03
  4.9700978       0.19237374       0.83736704E-03   0.93140977E-01   0.75081482E-03
  5.0007774       0.17727932       0.83688204E-03   0.16681212E-01   0.68871775E-03
  5.0314570       0.16267530       0.82735746E-03  -0.49975554E-01   0.61024519E-03
  5.0621366       0.14908011       0.81243350E-03  -0.97083900E-01   0.52199133E-03
  5.0928162       0.13692086       0.79205809E-03  -0.12146022       0.42643028E-03
