# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik      chik
  7.2000000       0.48176994       0.98284280        7.2000000       0.39824313       -1.5588382       -1.5429187
  7.2500000       0.54931797       0.98490841        7.2500000       0.53321788       -1.5279773       -1.4388048
  7.3000000       0.58161116       0.98684375        7.3000000       0.62446810       -1.4979404       -1.3775914
  7.3500000       0.57800634       0.98864822        7.3500000       0.66808805       -1.4695847       -1.3623273
  7.4000000       0.54313213       0.99032126        7.4000000       0.66367282       -1.4436715       -1.3926557
  7.4500000       0.47787830       0.99186236        7.4500000       0.61420613       -1.4208475       -1.4649463
  7.5000000       0.38351757       0.99327105        7.5000000       0.52579586       -1.4011244       -1.5730797
  7.5500000       0.27075688       0.99454689        7.5500000       0.40686027       -1.3849790       -1.7081608
  7.6000000       0.14138557       0.99568948        7.6000000       0.26768285       -1.3729744       -1.8593427
  7.6500000       0.19177526E-01   0.99669849        7.6500000       0.11956235       -1.3652762       -2.0151615
  7.7000000      -0.77131493E-01   0.99757359        7.7000000      -0.26128646E-01   -1.3619088       -2.1642199
  7.7500000      -0.13544412       0.99831452        7.7500000      -0.15878392       -1.3627618       -2.2960221
  7.8000000      -0.14813277       0.99892104        7.8000000      -0.26931143       -1.3675995       -2.4017119
  7.8500000      -0.15034427       0.99939298        7.8500000      -0.35073661       -1.3760745       -2.4746622
  7.9000000      -0.17283366       0.99973018        7.9000000      -0.39862197       -1.3877436       -2.5108783
  7.9500000      -0.21619551       0.99993254        7.9500000      -0.41127886       -1.4020873       -2.5091915
  8.0000000      -0.26173042        1.0000000        8.0000000      -0.38968178       -1.4184245       -2.4712573
  8.0500000      -0.29769431       0.99993254        8.0500000      -0.33732762       -1.4363129       -2.4010148
  8.1000000      -0.31305814       0.99973018        8.1000000      -0.26002253       -1.4552331       -2.3047894
  8.1500000      -0.26415178       0.99939298        8.1500000      -0.16519358       -1.4745581       -2.1906355
  8.2000000      -0.21616573       0.99892104        8.2000000      -0.61268873E-01   -1.4936779       -2.0675910
  8.2500000      -0.13424525       0.99831452        8.2500000       0.43012859E-01   -1.5120185       -1.9449687
  8.3000000      -0.43592041E-01   0.99757359        8.3000000       0.13928593       -1.5290585       -1.8316556
  8.3500000       0.10242111       0.99669849        8.3500000       0.22018292       -1.5443429       -1.7354742
  8.4000000       0.22439451       0.99568948        8.4000000       0.27985614       -1.5574947       -1.6626492
  8.4500000       0.31998648       0.99454689        8.4500000       0.31436008       -1.5682228       -1.6174171
  8.5000000       0.38888906       0.99327105        8.5000000       0.32200557       -1.5764578       -1.6015366
  8.5500000       0.40930032       0.99186236        8.5500000       0.30300870       -1.5820473       -1.6149440
  8.6000000       0.37059248       0.99032126        8.6000000       0.25958377       -1.5848529       -1.6555633
  8.6500000       0.29000532       0.98864822        8.6500000       0.19587661       -1.5849309       -1.7191925
  8.7000000       0.16720849       0.98684375        8.7000000       0.11745049       -1.5824212       -1.8001283
  8.7500000       0.25878518E-01   0.98490841        8.7500000       0.30803198E-01   -1.5775384       -1.8916584
  8.8000000      -0.14052509       0.98284280        8.8000000      -0.57167039E-01   -1.5705613       -1.9866058
  8.8500000      -0.27159267       0.98064755        8.8500000      -0.13970359       -1.5618202       -2.0778834
  8.9000000      -0.34121056       0.97832333        8.9000000      -0.21069973       -1.5516841       -2.1590157
  8.9500000      -0.38046024       0.97587085        8.9500000      -0.26513587       -1.5405459       -2.2245900
  9.0000000      -0.37885007       0.97329088        9.0000000      -0.29968783       -1.5287603       -2.2709275
  9.0500000      -0.16426397       0.97058419        9.0500000      -0.31225269       -1.5167116       -2.2955411
  9.1000000      -0.19076859       0.96775163        9.1000000      -0.30222810       -1.5048304       -2.2973977
  9.1500000      -0.29369177       0.96479404        9.1500000      -0.27096749       -1.4934847       -2.2774828
  9.2000000      -0.23427832       0.96171235        9.2000000      -0.22135205       -1.4830046       -2.2383475
  9.2500000      -0.16489402       0.95850750        9.2500000      -0.15751401       -1.4736733       -2.1838407
  9.3000000      -0.81122290E-01   0.95518045        9.3000000      -0.84477341E-01   -1.4657204       -2.1187569
  9.3500000       0.18330121E-01   0.95173223        9.3500000      -0.77469597E-02   -1.4593175       -2.0484294
  9.4000000       0.12440329       0.94816389        9.4000000       0.67120025E-01   -1.4545757       -1.9783042
  9.4500000       0.22960705       0.94447651        9.4500000       0.13492763       -1.4515455       -1.9135269
  9.5000000       0.30960105       0.94067122        9.5000000       0.19141260       -1.4501867       -1.8584007
  9.5500000       0.36090450       0.93674917        9.5500000       0.23314824       -1.4504603       -1.8163915
  9.6000000       0.38158926       0.93271156        9.6000000       0.25765221       -1.4522938       -1.7900540
  9.6500000       0.37854595       0.92855960        9.6500000       0.26396420       -1.4555310       -1.7805048
  9.7000000       0.35902003       0.92429457        9.7000000       0.25247003       -1.4599785       -1.7875515
  9.7500000       0.27967155       0.91991774        9.7500000       0.22480937       -1.4654147       -1.8097760
  9.8000000       0.15759644       0.91543045        9.8000000       0.18369450       -1.4715990       -1.8447065
  9.8500000       0.38418096E-01   0.91083404        9.8500000       0.13265858       -1.4782811       -1.8890603
  9.9000000      -0.79518729E-01   0.90612991        9.9000000       0.75755806E-01   -1.4852103       -1.9390339
  9.9500000      -0.15607891       0.90131947        9.9500000       0.17238477E-01   -1.4921436       -1.9906179
  10.000000      -0.19671397       0.89640416        10.000000      -0.38946255E-01   -1.4988861       -2.0400602
  10.050000      -0.20874503       0.89138547        10.050000      -0.89256548E-01   -1.5052693       -2.0839873
  10.100000      -0.18361962       0.88626490        10.100000      -0.13040584       -1.5110837       -2.1193221
  10.150000      -0.16488466       0.88104398        10.150000      -0.16007333       -1.5161724       -2.1439010
  10.200000      -0.14946509       0.87572428        10.200000      -0.17689644       -1.5204123       -2.1564841
  10.250000      -0.13212687       0.87030738        10.250000      -0.18051638       -1.5237168       -2.1567996
  10.300000      -0.13035623       0.86479489        10.300000      -0.17154634       -1.5260361       -2.1455102
  10.350000      -0.12515665       0.85918847        10.350000      -0.15146907       -1.5273567       -2.1241124
  10.400000      -0.11481550       0.85348977        10.400000      -0.12247542       -1.5276996       -2.0947758
  10.450000      -0.97879214E-01   0.84770049        10.450000      -0.87259534E-01   -1.5271176       -2.0601420
  10.500000      -0.61323866E-01   0.84182233        10.500000      -0.48788553E-01   -1.5256912       -2.0230974
  10.550000      -0.97149349E-01   0.83585705        10.550000      -0.10065890E-01   -1.5235241       -1.9865418
  10.600000      -0.10297124       0.82980639        10.600000       0.26093713E-01   -1.5207383       -1.9531680
  10.650000       0.68948418E-01   0.82367214        10.650000       0.57260924E-01   -1.5174686       -1.9252705
  10.700000       0.91909279E-01   0.81745610        10.700000       0.81547158E-01   -1.5138569       -1.9045959
  10.750000       0.14092233       0.81116009        10.750000       0.97709245E-01   -1.5100473       -1.8922434
  10.800000       0.18613482       0.80478595        10.800000       0.10519860       -1.5061807       -1.8886207
  10.850000       0.18289099       0.79833555        10.850000       0.10415465       -1.5023899       -1.8934555
  10.900000       0.15952964       0.79181078        10.900000       0.95346548E-01   -1.4987961       -1.9058574
  10.950000       0.12672139       0.78521352        10.950000       0.80070946E-01   -1.4955052       -1.9244239
  11.000000       0.91713700E-01   0.77854569        11.000000       0.60036863E-01   -1.4925583       -1.9474049
  11.050000       0.54777422E-01   0.77180921        11.050000       0.37051522E-01   -1.4899929       -1.9729556
  11.100000       0.18590856E-01   0.76500604        11.100000       0.13065604E-01   -1.4879225       -1.9990119
  11.150000       0.71904628E-02   0.75813813        11.150000      -0.99560560E-02   -1.4863870       -2.0235691
  11.200000      -0.56749309E-02   0.75120746        11.200000      -0.30262166E-01   -1.4854054       -2.0448568
  11.250000      -0.42507967E-01   0.74421601        11.250000      -0.46437443E-01   -1.4849764       -2.0614611
  11.300000      -0.60282149E-01   0.73716578        11.300000      -0.57490941E-01   -1.4850797       -2.0724112
  11.350000      -0.73088601E-01   0.73005877        11.350000      -0.62905478E-01   -1.4856782       -2.0772273
  11.400000      -0.88986856E-01   0.72289702        11.400000      -0.62646735E-01   -1.4867196       -2.0759271
  11.450000      -0.82806914E-01   0.71568255        11.450000      -0.57133879E-01   -1.4881401       -2.0689938
  11.500000      -0.76713537E-01   0.70841739        11.500000      -0.47176449E-01   -1.4898666       -2.0573098
  11.550000      -0.79521478E-01   0.70110360        11.550000      -0.33884636E-01   -1.4918204       -2.0420643
  11.600000      -0.61006066E-01   0.69374323        11.600000      -0.18561701E-01   -1.4939198       -2.0246419
  11.650000      -0.49746607E-01   0.68633834        11.650000      -0.25881585E-02   -1.4960835       -2.0065046
  11.700000      -0.57184709E-01   0.67889100        11.700000       0.12692617E-01   -1.4982335       -1.9890738
  11.750000       0.14535912E-01   0.67140328        11.750000       0.26078450E-01   -1.5002973       -1.9736242
  11.800000       0.27305525E-01   0.66387725        11.800000       0.36594526E-01   -1.5022103       -1.9611952
  11.850000       0.49468030E-01   0.65631501        11.850000       0.43556043E-01   -1.5039173       -1.9525267
  11.900000       0.78014154E-01   0.64871862        11.900000       0.46603901E-01   -1.5053741       -1.9480220
  11.950000       0.71530101E-01   0.64109018        11.950000       0.45712399E-01   -1.5065482       -1.9477394
  12.000000       0.46646798E-01   0.63343177        12.000000       0.41205814E-01   -1.5074272       -1.9513670
  12.050000       0.44857066E-01   0.62574547        12.050000       0.33619704E-01   -1.5080032       -1.9583771
  12.100000       0.37511498E-01   0.61803338        12.100000       0.23643222E-01   -1.5082639       -1.9680929
  12.150000       0.32096574E-01   0.61029758        12.150000       0.12182758E-01   -1.5082218       -1.9795955
  12.200000       0.11376842E-01   0.60254015        12.200000       0.21238523E-03   -1.5078991       -1.9918885
  12.250000      -0.29029985E-02   0.59476317        12.250000      -0.11306772E-01   -1.5073266       -2.0039802
  12.300000      -0.15487696E-04   0.58696871        12.300000      -0.21501281E-01   -1.5065416       -2.0149597
  12.350000      -0.12514363E-01   0.57915885        12.350000      -0.29648697E-01   -1.5055865       -2.0240622
  12.400000      -0.36432497E-01   0.57133566        12.400000      -0.35225164E-01   -1.5045066       -2.0307185
  12.450000      -0.42499664E-01   0.56350120        12.450000      -0.37934519E-01   -1.5033486       -2.0345860
  12.500000      -0.32108622E-01   0.55565752        12.500000      -0.37717809E-01   -1.5021584       -2.0355594
  12.550000      -0.27772668E-01   0.54780667        12.550000      -0.34743682E-01   -1.5009800       -2.0337637
  12.600000      -0.37137163E-01   0.53995068        12.600000      -0.29381629E-01   -1.4998538       -2.0295278
  12.650000      -0.41116984E-01   0.53209160        12.650000      -0.22161289E-01   -1.4988154       -2.0233459
  12.700000      -0.32473433E-01   0.52423143        12.700000      -0.13721871E-01   -1.4978947       -2.0158271
  12.750000      -0.20369351E-01   0.51637220        12.750000      -0.47563154E-02   -1.4971153       -2.0076410
  12.800000       0.13039050E-01   0.50851590        12.800000       0.40451068E-02   -1.4964940       -1.9994609
  12.850000       0.52661005E-01   0.50066451        12.850000       0.12047324E-01   -1.4960409       -1.9919118
  12.900000       0.57082957E-01   0.49282002        12.900000       0.18715276E-01   -1.4957591       -1.9855256
  12.950000       0.56350334E-01   0.48498439        12.950000       0.23648035E-01   -1.4956457       -1.9807063
  13.000000       0.52140453E-01   0.47715957        13.000000       0.26627377E-01   -1.4956918       -1.9776809
  13.050000       0.46935985E-01   0.46934748        13.050000       0.27577014E-01   -1.4958839       -1.9765391
  13.100000       0.30873427E-01   0.46155005        13.100000       0.26510787E-01   -1.4962042       -1.9772850
  13.150000       0.27341361E-01   0.45376919        13.150000       0.23639989E-01   -1.4966317       -1.9797283
  13.200000       0.19339525E-01   0.44600677        13.200000       0.19296990E-01   -1.4971429       -1.9835601
  13.250000       0.10002855E-01   0.43826467        13.250000       0.13901704E-01   -1.4977132       -1.9883851
  13.300000       0.64504852E-02   0.43054475        13.300000       0.79235658E-02   -1.4983179       -1.9937586
  13.350000       0.11995900E-01   0.42284882        13.350000       0.18423035E-02   -1.4989329       -1.9992248
  13.400000       0.42866831E-02   0.41517872        13.400000      -0.38893472E-02   -1.4995357       -2.0043537
  13.450000       0.69249193E-04   0.40753623        13.450000      -0.88782048E-02   -1.5001059       -2.0087723
  13.500000      -0.33140559E-01   0.39992313        13.500000      -0.12816272E-01   -1.5006260       -2.0121902
  13.550000      -0.36089497E-01   0.39234116        13.550000      -0.15497924E-01   -1.5010818       -2.0144161
  13.600000      -0.23168939E-01   0.38479208        13.600000      -0.16827919E-01   -1.5014622       -2.0153657
  13.650000      -0.30001237E-01   0.37727757        13.650000      -0.16820280E-01   -1.5017601       -2.0150602
  13.700000      -0.36938372E-01   0.36979934        13.700000      -0.15588796E-01   -1.5019716       -2.0136172
  13.750000      -0.18948447E-01   0.36235905        13.750000      -0.13330520E-01   -1.5020964       -2.0112341
  13.800000      -0.29067718E-01   0.35495833        13.800000      -0.10304071E-01   -1.5021373       -2.0081667
  13.850000      -0.37850734E-01   0.34759881        13.850000      -0.68048423E-02   -1.5021000       -2.0047048
  13.900000      -0.31803649E-01   0.34028208        13.900000      -0.31392834E-02   -1.5019923       -2.0011470
  13.950000      -0.22137451E-01   0.33300970        13.950000       0.39963950E-03   -1.5018241       -1.9977763
  14.000000       0.11399567E-02   0.32578322        14.000000       0.35614417E-02   -1.5016081       -1.9948305
  14.050000       0.13724417E-02   0.31860415        14.050000       0.61505991E-02   -1.5013551       -1.9924943
  14.100000      -0.29110444E-01   0.31147399        14.100000       0.80071129E-02   -1.5010730       -1.9909199
  14.150000      -0.22399728E-01   0.30439418        14.150000       0.90525576E-02   -1.5007744       -1.9901730
  14.200000      -0.62591570E-02   0.29736617        14.200000       0.92790474E-02   -1.5004715       -1.9902495
  14.250000      -0.14559643E-01   0.29039137        14.250000       0.87440263E-02   -1.5001756       -1.9910804
  14.300000      -0.37271572E-01   0.28347115        14.300000       0.75602852E-02   -1.4998969       -1.9925428
  14.350000      -0.28454692E-01   0.27660686        14.350000       0.58823783E-02   -1.4996442       -1.9944734
  14.400000      -0.19361700E-01   0.26979983        14.400000       0.38908102E-02   -1.4994247       -1.9966845
  14.450000      -0.49749772E-02   0.26305134        14.450000       0.17754377E-02   -1.4992437       -1.9989809
