# data from ifeffit
#------------------------
#   x1        y1        x2        y2
  4.2091160        3.6239140        3.5803673        3.1184793
  4.2154572        3.6218314        3.5843758        3.1171628
  4.2217339        3.6196971        3.5883434        3.1158137
  4.2279457        3.6175112        3.5922700        3.1144320
  4.2340925        3.6152739        3.5961555        3.1130177
  4.2401740        3.6129852        3.5999998        3.1115710
  4.2461900        3.6106451        3.6038026        3.1100918
  4.2521402        3.6082539        3.6075638        3.1085802
  4.2580245        3.6058115        3.6112834        3.1070363
  4.2638425        3.6033180        3.6149611        3.1054601
  4.2695942        3.6007736        3.6185969        3.1038518
  4.2752792        3.5981783        3.6221905        3.1022112
  4.2808974        3.5955323        3.6257419        3.1005386
  4.2864486        3.5928356        3.6292509        3.0988340
  4.2919325        3.5900884        3.6327174        3.0970974
  4.2973489        3.5872907        3.6361412        3.0953289
  4.3026977        3.5844427        3.6395223        3.0935286
  4.3079786        3.5815444        3.6428604        3.0916966
  4.3131914        3.5785960        3.6461556        3.0898328
  4.3183360        3.5755975        3.6494075        3.0879375
  4.3234121        3.5725492        3.6526163        3.0860105
  4.3284195        3.5694511        3.6557816        3.0840521
  4.3333581        3.5663033        3.6589034        3.0820624
  4.3382277        3.5631059        3.6619815        3.0800412
  4.3430281        3.5598591        3.6650159        3.0779889
  4.3477591        3.5565630        3.6680065        3.0759053
  4.3524205        3.5532177        3.6709531        3.0737907
  4.3570122        3.5498233        3.6738556        3.0716450
  4.3615339        3.5463800        3.6767139        3.0694684
  4.3659856        3.5428878        3.6795279        3.0672610
  4.3703670        3.5393470        3.6822974        3.0650228
  4.3746780        3.5357577        3.6850225        3.0627539
  4.3789184        3.5321199        3.6877030        3.0604544
  4.3830881        3.5284339        3.6903387        3.0581244
  4.3871869        3.5246998        3.6929296        3.0557639
  4.3912147        3.5209176        3.6954757        3.0533732
  4.3951712        3.5170876        3.6979767        3.0509521
  4.3990564        3.5132099        3.7004326        3.0485010
  4.4028700        3.5092847        3.7028433        3.0460197
  4.4066121        3.5053120        3.7052087        3.0435085
  4.4102823        3.5012921        3.7075287        3.0409674
  4.4138807        3.4972250        3.7098033        3.0383966
  4.4174069        3.4931110        3.7120324        3.0357960
  4.4208610        3.4889502        3.7142158        3.0331659
  4.4242428        3.4847428        3.7163534        3.0305063
  4.4275521        3.4804888        3.7184453        3.0278173
  4.4307889        3.4761886        3.7204913        3.0250990
  4.4339529        3.4718421        3.7224914        3.0223515
  4.4370442        3.4674497        3.7244455        3.0195750
  4.4400625        3.4630114        3.7263534        3.0167695
  4.4430078        3.4585275        3.7282152        3.0139351
  4.4458799        3.4539981        3.7300307        3.0110719
  4.4486788        3.4494233        3.7317999        3.0081801
  4.4514043        3.4448034        3.7335228        3.0052598
  4.4540563        3.4401385        3.7351992        3.0023110
  4.4566347        3.4354287        3.7368290        2.9993339
  4.4591395        3.4306744        3.7384124        2.9963286
  4.4615706        3.4258756        3.7399491        2.9932951
  4.4639277        3.4210325        3.7414391        2.9902337
  4.4662110        3.4161454        3.7428824        2.9871445
  4.4684202        3.4112143        3.7442789        2.9840274
  4.4705553        3.4062395        3.7456285        2.9808828
  4.4726162        3.4012212        3.7469313        2.9777106
  4.4746028        3.3961596        3.7481870        2.9745110
  4.4765151        3.3910548        3.7493959        2.9712842
  4.4783530        3.3859070        3.7505576        2.9680302
  4.4801164        3.3807164        3.7516723        2.9647491
  4.4818053        3.3754833        3.7527399        2.9614412
  4.4834195        3.3702079        3.7537602        2.9581064
  4.4849591        3.3648902        3.7547334        2.9547450
  4.4864239        3.3595306        3.7556594        2.9513571
  4.4878139        3.3541292        3.7565381        2.9479428
  4.4891291        3.3486862        3.7573694        2.9445021
  4.4903695        3.3432019        3.7581535        2.9410354
  4.4915348        3.3376764        3.7588901        2.9375426
  4.4926252        3.3321099        3.7595794        2.9340239
  4.4936406        3.3265027        3.7602212        2.9304795
  4.4945809        3.3208550        3.7608156        2.9269095
  4.4954461        3.3151670        3.7613625        2.9233140
  4.4962362        3.3094388        3.7618620        2.9196931
  4.4969512        3.3036708        3.7623139        2.9160470
  4.4975909        3.2978631        3.7627183        2.9123758
  4.4981555        3.2920160        3.7630751        2.9086797
  4.4986448        3.2861296        3.7633844        2.9049588
  4.4990588        3.2802042        3.7636462        2.9012133
  4.4993976        3.2742400        3.7638604        2.8974432
  4.4996612        3.2682373        3.7640269        2.8936487
  4.4998494        3.2621962        3.7641459        2.8898301
  4.4999624        3.2561171        3.7642173        2.8859873
  4.5000000        3.2500000        3.7642411        2.8821206
  4.4999624        3.2438453        3.7642173        2.8782300
  4.4998494        3.2376532        3.7641459        2.8743159
  4.4996612        3.2314239        3.7640269        2.8703782
  4.4993976        3.2251576        3.7638604        2.8664172
  4.4990588        3.2188546        3.7636462        2.8624329
  4.4986448        3.2125152        3.7633844        2.8584256
  4.4981555        3.2061395        3.7630751        2.8543954
  4.4975909        3.1997278        3.7627183        2.8503425
  4.4969512        3.1932803        3.7623139        2.8462669
  4.4962362        3.1867974        3.7618620        2.8421689
  4.4954461        3.1802791        3.7613625        2.8380486
  4.4945809        3.1737259        3.7608156        2.8339061
  4.4936406        3.1671379        3.7602212        2.8297417
  4.4926252        3.1605153        3.7595794        2.8255554
  4.4915348        3.1538585        3.7588901        2.8213475
  4.4903695        3.1471676        3.7581535        2.8171181
  4.4891291        3.1404429        3.7573694        2.8128673
  4.4878139        3.1336848        3.7565381        2.8085953
  4.4864239        3.1268933        3.7556594        2.8043023
  4.4849591        3.1200689        3.7547334        2.7999884
  4.4834195        3.1132116        3.7537602        2.7956538
  4.4818053        3.1063219        3.7527399        2.7912987
  4.4801164        3.0994000        3.7516723        2.7869232
  4.4783530        3.0924460        3.7505576        2.7825275
  4.4765151        3.0854604        3.7493959        2.7781117
  4.4746028        3.0784433        3.7481870        2.7736760
  4.4726162        3.0713950        3.7469313        2.7692207
  4.4705553        3.0643158        3.7456285        2.7647457
  4.4684202        3.0572059        3.7442789        2.7602514
  4.4662110        3.0500656        3.7428824        2.7557379
  4.4639277        3.0428952        3.7414391        2.7512054
  4.4615706        3.0356950        3.7399491        2.7466539
  4.4591395        3.0284651        3.7384124        2.7420838
  4.4566347        3.0212060        3.7368290        2.7374952
  4.4540563        3.0139178        3.7351992        2.7328882
  4.4514043        3.0066009        3.7335228        2.7282630
  4.4486788        2.9992555        3.7317999        2.7236198
  4.4458799        2.9918818        3.7300307        2.7189588
  4.4430078        2.9844803        3.7282152        2.7142801
  4.4400625        2.9770511        3.7263534        2.7095839
  4.4370442        2.9695945        3.7244455        2.7048705
  4.4339529        2.9621108        3.7224914        2.7001399
  4.4307889        2.9546003        3.7204913        2.6953924
  4.4275521        2.9470633        3.7184453        2.6906280
  4.4242428        2.9395000        3.7163534        2.6858472
  4.4208610        2.9319108        3.7142158        2.6810499
