# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik
  14.200000      -0.61663256E-02   0.31288704        14.200000      -0.19741768E-02   -1.5019742
  14.250000      -0.14343088E-01   0.30581353        14.250000      -0.14095378E-02   -1.5014095
  14.300000      -0.36718637E-01   0.29877740        14.300000      -0.83381986E-03   -1.5008338
  14.350000      -0.28034201E-01   0.29177993        14.350000      -0.26819241E-03   -1.5002682
  14.400000      -0.19074686E-01   0.28482238        14.400000       0.26796860E-03   -1.4997320
  14.450000      -0.49019323E-02   0.27790601        14.450000       0.75765974E-03   -1.4992423
  14.500000       0.30117829E-02   0.27103206        14.500000       0.11867039E-02   -1.4988133
  14.550000      -0.23244149E-01   0.26420175        14.550000       0.15440702E-02   -1.4984559
  14.600000      -0.11294436E-01   0.25741627        14.600000       0.18220580E-02   -1.4981779
  14.650000       0.11390842E-02   0.25067681        14.650000       0.20163458E-02   -1.4979837
  14.700000       0.43093407E-02   0.24398455        14.700000       0.21259145E-02   -1.4978741
  14.750000       0.94895963E-01   0.23734061        14.750000       0.21528550E-02   -1.4978471
  14.800000       0.59745935E-01   0.23074614        14.800000       0.21020749E-02   -1.4978979
  14.850000       0.20309984E-01   0.22420223        14.850000       0.19809241E-02   -1.4980191
  14.900000       0.38266381E-01   0.21770999        14.900000       0.17987557E-02   -1.4982012
  14.950000       0.26986322E-02   0.21127048        14.950000       0.15664455E-02   -1.4984336
  15.000000       0.29244418E-01    0.0000000        15.000000       0.12959688E-02   -1.4987040
  15.050000       0.49187759E-01    0.0000000        15.050000       0.99745094E-03   -1.4990025
  15.100000       0.44042293E-01    0.0000000        15.100000       0.68310663E-03   -1.4993169
  15.150000       0.50305020E-01    0.0000000        15.150000       0.36547997E-03   -1.4996345
  15.200000       0.42708051E-01    0.0000000        15.200000       0.56387070E-04   -1.4999436
  15.250000       0.37943467E-01    0.0000000        15.250000      -0.23347279E-03   -1.5002335
  15.300000       0.52134430E-01    0.0000000        15.300000      -0.49483797E-03   -1.5004948
  15.350000       0.44680685E-01    0.0000000        15.350000      -0.72012996E-03   -1.5007201
  15.400000       0.96502251E-02    0.0000000        15.400000      -0.90361924E-03   -1.5009036
  15.450000      -0.15643117E-01    0.0000000        15.450000      -0.10415108E-02   -1.5010415
  15.500000      -0.19470042E-01    0.0000000        15.500000      -0.11319517E-02   -1.5011320
  15.550000      -0.16885586E-01    0.0000000        15.550000      -0.11749648E-02   -1.5011750
  15.600000      -0.29097723E-01    0.0000000        15.600000      -0.11723182E-02   -1.5011723
  15.650000      -0.44499783E-01    0.0000000        15.650000      -0.11273373E-02   -1.5011273
  15.700000      -0.59890854E-01    0.0000000        15.700000      -0.10446723E-02   -1.5010447
  15.750000      -0.53178188E-01    0.0000000        15.750000      -0.93003256E-03   -1.5009300
  15.800000      -0.73049452E-01    0.0000000        15.800000      -0.78989939E-03   -1.5007899
