# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  4.9087385       0.21838873       0.72817183E-03   0.21185033       0.72696034E-03
  4.9394181       0.20439792       0.77376617E-03   0.16214294       0.76889538E-03
  4.9700978       0.18969780       0.80012227E-03   0.91696149E-01   0.77102844E-03
  5.0007774       0.17487468       0.81298536E-03   0.16360111E-01   0.74453263E-03
  5.0314570       0.16050355       0.81842629E-03  -0.49316664E-01   0.70113124E-03
  5.0621366       0.14709442       0.81971743E-03  -0.95733247E-01   0.64723717E-03
  5.0928162       0.13507325       0.81672477E-03  -0.11975352       0.58508300E-03
  5.1234958       0.12480381       0.80842634E-03  -0.12389951       0.51794672E-03
  5.1541754       0.11664182       0.79666718E-03  -0.11397354       0.45316274E-03
  5.1848551       0.11099391       0.78810521E-03  -0.96283139E-01   0.39896138E-03
  5.2155347       0.10833673       0.79195445E-03  -0.75466687E-01   0.35717259E-03
  5.2462143       0.10915100       0.81377011E-03  -0.53417919E-01   0.31828530E-03
  5.2768939       0.11376757       0.85004149E-03  -0.29348482E-01   0.26433901E-03
  5.3075735       0.12220083       0.88905428E-03  -0.79651823E-03   0.17919790E-03
  5.3382531       0.13407203       0.91699432E-03   0.34686901E-01   0.59585568E-04
  5.3689328       0.14864788       0.92402461E-03   0.77551794E-01  -0.81109873E-04
  5.3996124       0.16493754       0.90743769E-03   0.12456322      -0.21944861E-03
  5.4302920       0.18179367       0.87175126E-03   0.16819776      -0.33468115E-03
  5.4609716       0.19800407       0.82619922E-03   0.19777977      -0.41886047E-03
  5.4916512       0.21238080       0.78018836E-03   0.20243351      -0.47755353E-03
  5.5223308       0.22384981       0.73836421E-03   0.17505651      -0.52134975E-03
  5.5530105       0.23153549       0.69832336E-03   0.11580281      -0.55503974E-03
  5.5836901       0.23483005       0.65288691E-03   0.33471236E-01  -0.57272128E-03
  5.6143697       0.23343785       0.59504059E-03  -0.56104250E-01  -0.56227754E-03
  5.6450493       0.22738847       0.52189940E-03  -0.13433427      -0.51547585E-03
  5.6757289       0.21701732       0.43592214E-03  -0.18532777      -0.43586190E-03
  5.7064085       0.20291771       0.34373144E-03  -0.20049652      -0.33862426E-03
  5.7370881       0.18587245       0.25358030E-03  -0.18065035      -0.24288842E-03
  5.7677678       0.16677571       0.17255699E-03  -0.13497176      -0.16247048E-03
  5.7984474       0.14655690       0.10526993E-03  -0.77475420E-01  -0.10174691E-03
  5.8291270       0.12611772       0.60095197E-04  -0.22408534E-01  -0.58759562E-04
  5.8598066       0.10629299       0.66270416E-04   0.19760250E-01  -0.31803756E-04
  5.8904862       0.87844948E-01   0.11026336E-03   0.44547183E-01  -0.23267065E-04
  5.9211658       0.71500406E-01   0.15934860E-03   0.53419263E-01  -0.37259488E-04
  5.9518455       0.58028650E-01   0.20141392E-03   0.51881428E-01  -0.73189459E-04
  5.9825251       0.48293393E-01   0.22905016E-03   0.46606813E-01  -0.12122393E-03
  6.0132047       0.43038368E-01   0.23774686E-03   0.42726875E-01  -0.16438024E-03
  6.0438843       0.42219430E-01   0.22681035E-03   0.42214087E-01  -0.18673581E-03
  6.0745639       0.44644667E-01   0.19979162E-03   0.43803065E-01  -0.18212764E-03
  6.1052435       0.48687276E-01   0.16391411E-03   0.44269466E-01  -0.15690283E-03
  6.1359232       0.53070226E-01   0.12819063E-03   0.40351114E-01  -0.12454124E-03
  6.1666028       0.57026465E-01   0.99452507E-04   0.30382715E-01  -0.96045016E-04
  6.1972824       0.60189066E-01   0.77040176E-04   0.14936628E-01  -0.73154666E-04
  6.2279620       0.62487318E-01   0.53285851E-04  -0.36800881E-02  -0.49229430E-04
  6.2586416       0.64075742E-01   0.25078054E-04  -0.22619025E-01  -0.16737637E-04
  6.2893212       0.65256682E-01   0.38212754E-04  -0.39608814E-01   0.24697864E-04
  6.3200008       0.66368280E-01   0.88995155E-04  -0.53388605E-01   0.66025058E-04
  6.3506805       0.67646679E-01   0.14381096E-03  -0.63361163E-01   0.93990920E-04
  6.3813601       0.69113413E-01   0.19365788E-03  -0.68905591E-01   0.99779432E-04
  6.4120397       0.70548377E-01   0.23344530E-03  -0.68993626E-01   0.84439553E-04
  6.4427193       0.71563822E-01   0.26217246E-03  -0.62495484E-01   0.57140652E-04
  6.4733989       0.71735726E-01   0.28306301E-03  -0.49026014E-01   0.27949731E-04
  6.5040785       0.70731064E-01   0.30161139E-03  -0.29745675E-01   0.99562760E-06
  6.5347582       0.68392129E-01   0.32163327E-03  -0.75018372E-02  -0.26669182E-04
  6.5654378       0.64767297E-01   0.34207480E-03   0.13901202E-01  -0.59949555E-04
  6.5961174       0.60092907E-01   0.35773217E-03   0.30956632E-01  -0.98888212E-04
  6.6267970       0.54736063E-01   0.36323422E-03   0.41555858E-01  -0.13610671E-03
  6.6574766       0.49110575E-01   0.35735246E-03   0.45373544E-01  -0.16105253E-03
  6.6881562       0.43583049E-01   0.34586044E-03   0.43445034E-01  -0.16807843E-03
  6.7188359       0.38394666E-01   0.34138879E-03   0.37334400E-01  -0.16213126E-03
  6.7495155       0.33630154E-01   0.35711742E-03   0.28469678E-01  -0.15743158E-03
  6.7801951       0.29254635E-01   0.39618749E-03   0.17992149E-01  -0.16975162E-03
  6.8108747       0.25205817E-01   0.44979973E-03   0.70261808E-02  -0.20768786E-03
  6.8415543       0.21496656E-01   0.50604320E-03  -0.30393474E-02  -0.26897699E-03
  6.8722339       0.18278937E-01   0.55721536E-03  -0.10633809E-01  -0.34396939E-03
  6.9029135       0.15827510E-01   0.60156147E-03  -0.14492039E-01  -0.42296597E-03
  6.9335932       0.14404821E-01   0.64150248E-03  -0.14220207E-01  -0.50145165E-03
  6.9642728       0.14043938E-01   0.68007772E-03  -0.10504506E-01  -0.57933055E-03
  6.9949524       0.14496956E-01   0.71746615E-03  -0.47595395E-02  -0.65535029E-03
  7.0256320       0.15469917E-01   0.74971349E-03   0.15854926E-02  -0.72192743E-03
  7.0563116       0.16845264E-01   0.77032231E-03   0.76953682E-02  -0.76536518E-03
  7.0869912       0.18682776E-01   0.77332574E-03   0.13429722E-01  -0.77217452E-03
  7.1176709       0.21076224E-01   0.75599212E-03   0.18889196E-01  -0.73725543E-03
  7.1483505       0.24014186E-01   0.72011773E-03   0.23752448E-01  -0.66796772E-03
  7.1790301       0.27340361E-01   0.67163420E-03   0.26903531E-01  -0.58098369E-03
  7.2097097       0.30804241E-01   0.61863565E-03   0.26662778E-01  -0.49404624E-03
  7.2403893       0.34137251E-01   0.56834859E-03   0.21543515E-01  -0.41832035E-03
  7.2710689       0.37110949E-01   0.52441973E-03   0.11126894E-01  -0.35623562E-03
  7.3017486       0.39567954E-01   0.48652838E-03  -0.34184420E-02  -0.30530119E-03
  7.3324282       0.41430472E-01   0.45307765E-03  -0.19435508E-01  -0.26385478E-03
  7.3631078       0.42693416E-01   0.42498444E-03  -0.33440633E-01  -0.23359747E-03
  7.3937874       0.43408604E-01   0.40725675E-03  -0.42063831E-01  -0.21682545E-03
  7.4244670       0.43665742E-01   0.40605471E-03  -0.42946357E-01  -0.21095522E-03
  7.4551466       0.43574385E-01   0.42265262E-03  -0.35374707E-01  -0.20545809E-03
  7.4858262       0.43248654E-01   0.45071218E-03  -0.20546702E-01  -0.18464318E-03
  7.5165059       0.42794066E-01   0.48006551E-03  -0.14217153E-02  -0.13517714E-03
  7.5471855       0.42294903E-01   0.50205299E-03   0.17868552E-01  -0.53407711E-04
  7.5778651       0.41802176E-01   0.51223293E-03   0.32997442E-01   0.52507323E-04
  7.6085447       0.41325561E-01   0.51059555E-03   0.40600125E-01   0.16690815E-03
  7.6392243       0.40834677E-01   0.50042980E-03   0.39239245E-01   0.27397917E-03
  7.6699039       0.40272949E-01   0.48660766E-03   0.29785159E-01   0.36281522E-03
  7.7005836       0.39581460E-01   0.47389573E-03   0.15015531E-01   0.42713578E-03
  7.7312632       0.38724279E-01   0.46585653E-03  -0.14082133E-02   0.46114036E-03
  7.7619428       0.37704404E-01   0.46454208E-03  -0.16125842E-01   0.45622319E-03
  7.7926224       0.36561569E-01   0.47058211E-03  -0.26908327E-01   0.40256219E-03
  7.8233020       0.35349540E-01   0.48311998E-03  -0.32858163E-01   0.29549460E-03
  7.8539816       0.34100138E-01   0.49964054E-03  -0.34086748E-01   0.14231493E-03
  7.8846612       0.32791291E-01   0.51624605E-03  -0.31240101E-01  -0.35919137E-04
  7.9153409       0.31339699E-01   0.52863009E-03  -0.25219713E-01  -0.20989106E-03
  7.9460205       0.29629399E-01   0.53334167E-03  -0.17174089E-01  -0.35219140E-03
  7.9767001       0.27571335E-01   0.52868682E-03  -0.85452437E-02  -0.44635776E-03
  8.0073797       0.25179756E-01   0.51483732E-03  -0.88235005E-03  -0.48996813E-03
  8.0380593       0.22653508E-01   0.49312131E-03   0.46537244E-02  -0.49118173E-03
  8.0687389       0.20444377E-01   0.46492612E-03   0.78431383E-02  -0.46233401E-03
  8.0994186       0.19227961E-01   0.43101951E-03   0.95960199E-02  -0.41531523E-03
  8.1300982       0.19587901E-01   0.39209428E-03   0.11515249E-01  -0.36093951E-03
  8.1607778       0.21523361E-01   0.35080989E-03   0.14976669E-01  -0.31063786E-03
  8.1914574       0.24446315E-01   0.31470346E-03   0.20238004E-01  -0.27681875E-03
  8.2221370       0.27645642E-01   0.29724445E-03   0.26133537E-01  -0.26970152E-03
  8.2528166       0.30585729E-01   0.31067768E-03   0.30571792E-01  -0.29202794E-03
  8.2834963       0.32961017E-01   0.35318927E-03   0.31546959E-01  -0.33570316E-03
  8.3141759       0.34671820E-01   0.41034515E-03   0.28053922E-01  -0.38376782E-03
  8.3448555       0.35785364E-01   0.46720471E-03   0.20391346E-01  -0.41748047E-03
  8.3755351       0.36483190E-01   0.51428170E-03   0.97797922E-02  -0.42446414E-03
  8.4062147       0.36987908E-01   0.54805819E-03  -0.23108024E-02  -0.40287352E-03
  8.4368943       0.37475845E-01   0.56980805E-03  -0.14581731E-01  -0.35925439E-03
  8.4675739       0.38002811E-01   0.58347312E-03  -0.25810746E-01  -0.30219328E-03
  8.4982536       0.38477750E-01   0.59285433E-03  -0.34468506E-01  -0.23665191E-03
  8.5289332       0.38697169E-01   0.59918273E-03  -0.38587340E-01  -0.16295501E-03
  8.5596128       0.38418733E-01   0.60049743E-03  -0.36292759E-01  -0.80537313E-04
  8.5902924       0.37438538E-01   0.59319838E-03  -0.26892251E-01   0.72104846E-05
  8.6209720       0.35648275E-01   0.57461265E-03  -0.11878498E-01   0.91416387E-04
  8.6516516       0.33065846E-01   0.54502553E-03   0.49394269E-02   0.16116631E-03
  8.6823313       0.29842701E-01   0.50825538E-03   0.18550113E-01   0.20948039E-03
  8.7130109       0.26253065E-01   0.47046859E-03   0.24726971E-01   0.23725522E-03
  8.7436905       0.22666591E-01   0.43740876E-03   0.21914482E-01   0.25206520E-03
  8.7743701       0.19495175E-01   0.41123522E-03   0.11990439E-01   0.26262582E-03
  8.8050497       0.17088913E-01   0.38936983E-03  -0.55276610E-03   0.27300972E-03
  8.8357293       0.15577063E-01   0.36668949E-03  -0.10615401E-01   0.28081986E-03
  8.8664090       0.14766558E-01   0.33922565E-03  -0.14671048E-01   0.28041204E-03
  8.8970886       0.14251832E-01   0.30659650E-03  -0.12066933E-01   0.26838671E-03
  8.9277682       0.13645929E-01   0.27213134E-03  -0.49222665E-02   0.24695479E-03
  8.9584478       0.12721446E-01   0.24088518E-03   0.31465038E-02   0.22263199E-03
  8.9891274       0.11431401E-01   0.21621179E-03   0.87185255E-02   0.20150294E-03
  9.0198070       0.98914089E-02   0.19702675E-03   0.98742612E-02   0.18499936E-03
  9.0504866       0.83870378E-02   0.17879396E-03   0.66675683E-02   0.16963584E-03
  9.0811663       0.74112008E-02   0.15772475E-03   0.79423058E-03   0.15088618E-03
  9.1118459       0.75278281E-02   0.13450638E-03  -0.52069613E-02   0.12799349E-03
  9.1425255       0.88513012E-02   0.11563507E-03  -0.88512971E-02   0.10570349E-03
  9.1732051       0.10963839E-01   0.11001451E-03  -0.84692458E-02   0.91340995E-04
  9.2038847       0.13411456E-01   0.11842863E-03  -0.37222085E-02   0.89386810E-04
  9.2345643       0.15884275E-01   0.13122082E-03   0.42124796E-02   0.97783611E-04
  9.2652440       0.18170061E-01   0.13904125E-03   0.12892081E-01   0.10894437E-03
  9.2959236       0.20109923E-01   0.13815817E-03   0.19336825E-01   0.11481891E-03
  9.3266032       0.21582401E-01   0.13020063E-03   0.21082433E-01   0.11222430E-03
  9.3572828       0.22501812E-01   0.12058315E-03   0.17170856E-01   0.10443396E-03
  9.3879624       0.22820825E-01   0.11517742E-03   0.86099573E-02   0.97915427E-04
  9.4186420       0.22532478E-01   0.11530491E-03  -0.19795298E-02   0.96845524E-04
  9.4493217       0.21669804E-01   0.11643873E-03  -0.11414480E-01   0.99698278E-04
  9.4800013       0.20302668E-01   0.11282150E-03  -0.17204340E-01   0.10051383E-03
  9.5106809       0.18531646E-01   0.10177550E-03  -0.18404756E-01   0.93761365E-04
  9.5413605       0.16478367E-01   0.85210900E-04  -0.15700775E-01   0.78909543E-04
  9.5720401       0.14271119E-01   0.69887118E-04  -0.10790957E-01   0.61093302E-04
  9.6027197       0.12024843E-01   0.64800310E-04  -0.55063543E-02   0.47370627E-04
  9.6333993       0.98171156E-02   0.70786609E-04  -0.11604208E-02   0.41535050E-04
  9.6640790       0.76674758E-02   0.78965338E-04   0.16231700E-02   0.41560659E-04
  9.6947586       0.55347464E-02   0.83080692E-04   0.27168312E-02   0.41651064E-04
  9.7254382       0.33558061E-02   0.83958495E-04   0.22492182E-02   0.37220332E-04
  9.7561178       0.13315252E-02   0.88080115E-04   0.56465944E-03   0.28829161E-04
  9.7867974       0.22788664E-02   0.10133522E-03  -0.16402300E-02   0.21941589E-04
  9.8174770       0.50410630E-02   0.12190577E-03  -0.32535283E-02   0.22680840E-04
  9.8481567       0.80738864E-02   0.14296118E-03  -0.30050473E-02   0.32931367E-04
  9.8788363       0.11136279E-01   0.15882175E-03  -0.45271084E-04   0.48665669E-04
  9.9095159       0.14030614E-01   0.16769974E-03   0.54514768E-02   0.62857168E-04
  9.9401955       0.16565139E-01   0.17235867E-03   0.12073572E-01   0.70757066E-04
  9.9708751       0.18573603E-01   0.17897797E-03   0.17584578E-01   0.73474220E-04
