# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  3.8656316       0.13870848       0.93348175E-02   0.62145067E-03   0.99604830E-02  -0.33350348E-01   0.83831837E-02
  3.8963112       0.12899638       0.89968183E-02   0.56408575E-03   0.95508329E-02   0.29654561E-01   0.87827200E-02
  3.9269908       0.11734064       0.85578352E-02   0.50330877E-03   0.90326887E-02   0.78791238E-01   0.85568718E-02
  3.9576704       0.10541179       0.80377310E-02   0.44340206E-03   0.84325144E-02   0.10108270       0.78002948E-02
  3.9883500       0.95625938E-01   0.74609659E-02   0.39105369E-03   0.77800148E-02   0.90920944E-01   0.66680604E-02
  4.0190297       0.90954640E-01   0.68569728E-02   0.35560747E-03   0.71069959E-02   0.51367665E-01   0.53429136E-02
  4.0497093       0.93762704E-01   0.62565805E-02   0.34725393E-03   0.64442632E-02  -0.68566450E-02   0.39925968E-02
  4.0803889       0.10420693       0.56857941E-02   0.37108281E-03   0.58178542E-02  -0.68135466E-01   0.27356431E-02
  4.1110685       0.12035532       0.51599092E-02   0.42249996E-03   0.52462873E-02  -0.11570272       0.16316105E-02
  4.1417481       0.13973749       0.46814248E-02   0.49069960E-03   0.47400130E-02  -0.13561634       0.69652411E-03
  4.1724277       0.16028744       0.42434942E-02   0.56421336E-03   0.43029118E-02  -0.12019849      -0.71438225E-04
  4.2031074       0.18047230       0.38371706E-02   0.63314818E-03   0.39342825E-02  -0.70131822E-01  -0.67470357E-03
  4.2337870       0.19919241       0.34581218E-02   0.68957789E-03   0.36295550E-02   0.54909406E-02  -0.11157286E-02
  4.2644666       0.21570463       0.31090023E-02   0.72771707E-03   0.33794816E-02   0.91389346E-01  -0.14063178E-02
  4.2951462       0.22958961       0.27965517E-02   0.74413978E-03   0.31696424E-02   0.17002639      -0.15731715E-02
  4.3258258       0.24073130       0.25257247E-02   0.73788316E-03   0.29825221E-02   0.22596912      -0.16519890E-02
  4.3565054       0.24928001       0.22952905E-02   0.71030803E-03   0.28024259E-02   0.24921606      -0.16746641E-02
  4.3871851       0.25558520       0.20988032E-02   0.66471003E-03   0.26210755E-02   0.23655355      -0.16610207E-02
  4.4178647       0.26010029       0.19308083E-02   0.60578993E-03   0.24410749E-02   0.19095057      -0.16221249E-02
  4.4485443       0.26327705       0.17934020E-02   0.53917308E-03   0.22753471E-02   0.11980097      -0.15710252E-02
  4.4792239       0.26547635       0.16969818E-02   0.47118661E-03   0.21418777E-02   0.33025043E-01  -0.15294190E-02
  4.5099035       0.26692025       0.16523154E-02   0.40897566E-03   0.20549525E-02  -0.58365013E-01  -0.15221534E-02
  4.5405831       0.26769598       0.16586876E-02   0.36055631E-03   0.20173235E-02  -0.14324826      -0.15627004E-02
  4.5712627       0.26780141       0.16995695E-02   0.33342351E-03   0.20192299E-02  -0.21128683      -0.16417367E-02
  4.6019424       0.26720501       0.17507411E-02   0.33055862E-03   0.20450336E-02  -0.25397748      -0.17294959E-02
  4.6326220       0.26589054       0.17925007E-02   0.34728568E-03   0.20813075E-02  -0.26575670      -0.17916282E-02
  4.6633016       0.26386736       0.18168026E-02   0.37404561E-03   0.21205777E-02  -0.24482555      -0.18071910E-02
  4.6939812       0.26114564       0.18273202E-02   0.40178919E-03   0.21601161E-02  -0.19345944      -0.17756019E-02
  4.7246608       0.25769357       0.18341613E-02   0.42480887E-03   0.21985597E-02  -0.11784902      -0.17084418E-02
  4.7553404       0.25340274       0.18461314E-02   0.44116868E-03   0.22334339E-02  -0.27658659E-01  -0.16141744E-02
  4.7860201       0.24808468       0.18647010E-02   0.45216331E-03   0.22611251E-02   0.64683208E-01  -0.14889614E-02
  4.8166997       0.24150679       0.18833833E-02   0.46117758E-03   0.22787667E-02   0.14525333      -0.13207975E-02
  4.8473793       0.23345746       0.18924531E-02   0.47192035E-03   0.22862273E-02   0.20080358      -0.11025755E-02
  4.8780589       0.22381820       0.18852089E-02   0.48644290E-03   0.22865321E-02   0.22172800      -0.84236789E-03
  4.9087385       0.21261817       0.18618963E-02   0.50394125E-03   0.22842256E-02   0.20497948      -0.56206291E-03
  4.9394181       0.20005551       0.18296408E-02   0.52107723E-03   0.22826170E-02   0.15559668      -0.28559404E-03
  4.9700978       0.18648189       0.17988260E-02   0.53344131E-03   0.22817724E-02   0.85763454E-01  -0.26456120E-04
  5.0007774       0.17235920       0.17779460E-02   0.53714534E-03   0.22787742E-02   0.11361117E-01   0.21598820E-03
  5.0314570       0.15820546       0.17700639E-02   0.52987721E-03   0.22702166E-02  -0.52763879E-01   0.44997146E-03
  5.0621366       0.14454962       0.17732479E-02   0.51132915E-03   0.22553420E-02  -0.96888337E-01   0.68159214E-03
  5.0928162       0.13191032       0.17843099E-02   0.48320333E-03   0.22378086E-02  -0.11824334       0.91046077E-03
  5.1234958       0.12080297       0.18025296E-02   0.44904767E-03   0.22248267E-02  -0.12012524       0.11330292E-02
  5.1541754       0.11176330       0.18303172E-02   0.41409172E-03   0.22237869E-02  -0.10910425       0.13480136E-02
  5.1848551       0.10535890       0.18702941E-02   0.38499206E-03   0.22380879E-02  -0.91827105E-01   0.15562179E-02
  5.2155347       0.10215106       0.19210195E-02   0.36889065E-03   0.22647275E-02  -0.72717238E-01   0.17527645E-02
  5.2462143       0.10258772       0.19747271E-02   0.37104318E-03   0.22951995E-02  -0.53122961E-01   0.19180589E-02
  5.2768939       0.10686549       0.20188261E-02   0.39198873E-03   0.23188737E-02  -0.31738291E-01   0.20170144E-02
  5.3075735       0.11484540       0.20400194E-02   0.42720817E-03   0.23265876E-02  -0.58223188E-02   0.20107763E-02
  5.3382531       0.12606612       0.20285343E-02   0.46970481E-03   0.23127029E-02   0.27170478E-01   0.18754270E-02
  5.3689328       0.13981229       0.19806588E-02   0.51272081E-03   0.22752592E-02   0.67811699E-01   0.16160090E-02
  5.3996124       0.15518095       0.18990482E-02   0.55109644E-03   0.22149040E-02   0.11314784       0.12668244E-02
  5.4302920       0.17113514       0.17911140E-02   0.58167183E-03   0.21336611E-02   0.15602743       0.87830209E-03
  5.4609716       0.18656252       0.16662934E-02   0.60326540E-03   0.20344289E-02   0.18602555       0.49930178E-03
  5.4916512       0.20035130       0.15333191E-02   0.61639515E-03   0.19215160E-02   0.19222620       0.16503963E-03
