# data from ifeffit
#------------------------
#   r         chir_mag     chir_re     chir_mag      chir_re      rw        resid
  3.7429131       0.41902728      -0.39328933       0.34874462E-01  -0.12735585E-01    0.0000000       -2.0000000
  3.7735927       0.46365616      -0.28778637       0.32237337E-01  -0.54363037E-02    0.0000000       -2.0000000
  3.8042724       0.53407352      -0.81495892E-01   0.28884579E-01  -0.86283642E-04    0.0000000       -2.0000000
  3.8349520       0.62578280       0.20263919       0.25938537E-01   0.29054638E-02    0.0000000       -2.0000000
  3.8656316       0.73369015       0.51948104       0.24251745E-01   0.46904803E-02    0.0000000       -2.0000000
  3.8963112       0.85244975       0.80239789       0.23779933E-01   0.67743012E-02    0.0000000       -2.0000000
  3.9269908       0.97628292       0.97275447       0.23695504E-01   0.97331647E-02    0.0000000       -2.0000000
  3.9576704        1.0988927       0.95961682       0.23161285E-01   0.12897476E-01    0.0000000       -2.0000000
  3.9883500        1.2136573       0.72535184       0.21848110E-01   0.15119497E-01    0.0000000       -2.0000000
  4.0190297        1.3140592       0.28724708       0.19996192E-01   0.15843670E-01    0.0000000       -2.0000000
  4.0497093        1.3942382      -0.27619092       0.18243475E-01   0.15556395E-01    0.0000000       -2.0000000
  4.0803889        1.4495482      -0.84088222       0.17262888E-01   0.15320518E-01    0.0000000       -2.0000000
  4.1110685        1.4770242       -1.2720006       0.17261035E-01   0.15880872E-01    0.0000000       -2.0000000
  4.1417481        1.4756887       -1.4658216       0.17816210E-01   0.17107352E-01    0.0000000       -2.0000000
  4.1724277        1.4466662       -1.3821813       0.18293152E-01   0.18169552E-01    0.0000000       -2.0000000
  4.2031074        1.3931027       -1.0545986       0.18267262E-01   0.18209238E-01    0.0000000       -2.0000000
  4.2337870        1.3199131      -0.57471384       0.17636277E-01   0.16932690E-01    0.0000000       -2.0000000
  4.2644666        1.2333916      -0.58643541E-01   0.16552495E-01   0.14706580E-01    0.0000000       -2.0000000
  4.2951462        1.1407222       0.39013267       0.15298755E-01   0.12190879E-01    0.0000000       -2.0000000
  4.3258258        1.0494080       0.70667845       0.14148213E-01   0.98757192E-02    0.0000000       -2.0000000
  4.3565054       0.96662323       0.87103244       0.13243423E-01   0.78728245E-02    0.0000000       -2.0000000
  4.3871851       0.89849359       0.89637696       0.12557753E-01   0.60354321E-02    0.0000000       -2.0000000
  4.4178647       0.84938733       0.80825736       0.11967698E-01   0.42170148E-02    0.0000000       -2.0000000
  4.4485443       0.82142815       0.62733614       0.11367883E-01   0.24286057E-02    0.0000000       -2.0000000
  4.4792239       0.81448440       0.36510475       0.10738550E-01   0.80202484E-03    0.0000000       -2.0000000
  4.5099035       0.82665112       0.34107407E-01   0.10141137E-01  -0.55476684E-03    0.0000000       -2.0000000
  4.5405831       0.85488577      -0.33473881       0.96658146E-02  -0.16612009E-02    0.0000000       -2.0000000
  4.5712627       0.89541320      -0.68059973       0.93669094E-02  -0.26476725E-02    0.0000000       -2.0000000
  4.6019424       0.94383553      -0.91834853       0.92259773E-02  -0.36521824E-02    0.0000000       -2.0000000
  4.6326220       0.99516931      -0.96416531       0.91656934E-02  -0.47207104E-02    0.0000000       -2.0000000
  4.6633016        1.0440375      -0.77209820       0.90962905E-02  -0.57801568E-02    0.0000000       -2.0000000
  4.6939812        1.0850792      -0.36396753       0.89578355E-02  -0.66916746E-02    0.0000000       -2.0000000
  4.7246608        1.1134956       0.16479698       0.87416311E-02  -0.73430403E-02    0.0000000       -2.0000000
  4.7553404        1.1255972       0.67063852       0.84932905E-02  -0.77230934E-02    0.0000000       -2.0000000
  4.7860201        1.1192347        1.0105057       0.82995982E-02  -0.79340764E-02    0.0000000       -2.0000000
  4.8166997        1.0940314        1.0930903       0.82546524E-02  -0.81286788E-02    0.0000000       -2.0000000
  4.8473793        1.0513864       0.90994515       0.84090001E-02  -0.83997775E-02    0.0000000       -2.0000000
  4.8780589       0.99425366       0.53331331       0.87317366E-02  -0.86866028E-02    0.0000000       -2.0000000
  4.9087385       0.92673812       0.83588979E-01   0.91187522E-02  -0.87652973E-02    0.0000000       -2.0000000
  4.9394181       0.85357708      -0.31690880       0.94383245E-02  -0.83484580E-02    0.0000000       -2.0000000
  4.9700978       0.77958584      -0.58290358       0.95777524E-02  -0.72461787E-02    0.0000000       -2.0000000
  5.0007774       0.70914763      -0.68346409       0.94706145E-02  -0.54912834E-02    0.0000000       -2.0000000
  5.0314570       0.64581110      -0.63574530       0.91044184E-02  -0.33477024E-02    0.0000000       -2.0000000
  5.0621366       0.59202969      -0.48425001       0.85139194E-02  -0.11975850E-02    0.0000000       -2.0000000
  5.0928162       0.54904613      -0.27871390       0.77650472E-02   0.61758960E-03    0.0000000       -2.0000000
  5.1234958       0.51690446      -0.60233952E-01   0.69351442E-02   0.19063781E-02    0.0000000       -2.0000000
  5.1541754       0.49457075       0.14201261       0.60974918E-02   0.26430701E-02    0.0000000       -2.0000000
  5.1848551       0.48014812       0.30728313       0.53187464E-02   0.29193669E-02    0.0000000       -2.0000000
  5.2155347       0.47116166       0.41896346       0.46714609E-02   0.28927300E-02    0.0000000       -2.0000000
  5.2462143       0.46486678       0.46359891       0.42448331E-02   0.27599697E-02    0.0000000       -2.0000000
  5.2768939       0.45852898       0.43392089       0.41137649E-02   0.27314807E-02    0.0000000       -2.0000000
  5.3075735       0.44964522       0.33363628       0.42610716E-02   0.29689393E-02    0.0000000       -2.0000000
  5.3382531       0.43610865       0.18063340       0.45523435E-02   0.34954011E-02    0.0000000       -2.0000000
  5.3689328       0.41633534       0.58936253E-02   0.48091171E-02   0.41451148E-02    0.0000000       -2.0000000
  5.3996124       0.38936793      -0.15280403       0.48856208E-02   0.46233064E-02    0.0000000       -2.0000000
  5.4302920       0.35495632      -0.26101286       0.47034928E-02   0.46730917E-02    0.0000000       -2.0000000
  5.4609716       0.31360196      -0.29819120       0.42664320E-02   0.42515439E-02    0.0000000       -2.0000000
  5.4916512       0.26654933      -0.26447578       0.36751840E-02   0.35853644E-02    0.0000000       -2.0000000
