# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag       chir_mag
  9.1732051       0.78424916E-02   0.91713717E-01   0.18321177
  9.2038847       0.32602145E-02   0.78457807E-01   0.17243386
  9.2345643       0.23564131E-02   0.65820298E-01   0.17738136
  9.2652440       0.65497065E-02   0.55192733E-01   0.19797990
  9.2959236       0.10142229E-01   0.48198845E-01   0.22930407
  9.3266032       0.12536314E-01   0.46126233E-01   0.26387420
  9.3572828       0.13463360E-01   0.48832661E-01   0.29448513
  9.3879624       0.12853398E-01   0.54725648E-01   0.31554292
  9.4186420       0.10847981E-01   0.61998041E-01   0.32358783
  9.4493217       0.78403762E-02   0.69332185E-01   0.31748820
  9.4800013       0.47782232E-02   0.75883912E-01   0.29836067
  9.5106809       0.44788891E-02   0.81123546E-01   0.26920331
  9.5413605       0.75574820E-02   0.84728917E-01   0.23431856
  9.5720401       0.11185744E-01   0.86524714E-01   0.19877668
  9.6027197       0.14509528E-01   0.86446362E-01   0.16838299
  9.6333993       0.17468900E-01   0.84525930E-01   0.15033640
  9.6640790       0.20309670E-01   0.80911682E-01   0.15237413
  9.6947586       0.23373607E-01   0.75936340E-01   0.17727796
  9.7254382       0.26879174E-01   0.70241280E-01   0.22024923
  9.7561178       0.30777932E-01   0.64928777E-01   0.27367453
  9.7867974       0.34770152E-01   0.61593596E-01   0.33025637
  9.8174770       0.38430046E-01   0.61881944E-01   0.38333346
  9.8481567       0.41343640E-01   0.66494500E-01   0.42697906
  9.8788363       0.43210144E-01   0.74644343E-01   0.45639218
  9.9095159       0.43899295E-01   0.84685840E-01   0.46835481
  9.9401955       0.43467263E-01   0.94977075E-01   0.46156239
  9.9708751       0.42131451E-01   0.10426475       0.43674869
  10.001555       0.40203590E-01   0.11174563       0.39661213
  10.032234       0.37988371E-01   0.11702675       0.34561400
  10.062914       0.35676024E-01   0.12005418       0.28976473
  10.093594       0.33282381E-01   0.12101852       0.23650274
  10.124273       0.30687167E-01   0.12024235       0.19441136
  10.154953       0.27776719E-01   0.11806738       0.17114173
  10.185632       0.24657452E-01   0.11476828       0.16794434
  10.216312       0.21904871E-01   0.11051792       0.17768169
  10.246992       0.20693475E-01   0.10541074       0.19191197
  10.277671       0.22198816E-01   0.99527442E-01   0.20649238
  10.308351       0.26359861E-01   0.93008340E-01   0.22150830
  10.339031       0.32017114E-01   0.86103483E-01   0.23918790
  10.369710       0.37966957E-01   0.79181718E-01   0.26161864
  10.400390       0.43346366E-01   0.72697132E-01   0.28909345
  10.431069       0.47619210E-01   0.67123584E-01   0.31976564
  10.461749       0.50531361E-01   0.62874184E-01   0.35040260
  10.492429       0.52080117E-01   0.60224418E-01   0.37740795
  10.523108       0.52473466E-01   0.59256348E-01   0.39757031
  10.553788       0.52057794E-01   0.59835834E-01   0.40845792
  10.584467       0.51206698E-01   0.61625195E-01   0.40854922
  10.615147       0.50188818E-01   0.64125525E-01   0.39718606
  10.645827       0.49064765E-01   0.66740431E-01   0.37441151
  10.676506       0.47671148E-01   0.68853345E-01   0.34075930
  10.707186       0.45707273E-01   0.69909887E-01   0.29709554
  10.737866       0.42880839E-01   0.69496369E-01   0.24468288
  10.768545       0.39052910E-01   0.67408045E-01   0.18586662
  10.799225       0.34353991E-01   0.63706692E-01   0.12705364
  10.829904       0.29281731E-01   0.58775177E-01   0.91567467E-01
  10.860584       0.24788469E-01   0.53379724E-01   0.11907067
  10.891264       0.22186298E-01   0.48718118E-01   0.18605595
  10.921943       0.22335801E-01   0.46294245E-01   0.26083907
  10.952623       0.24614849E-01   0.47317522E-01   0.33107111
  10.983302       0.27527359E-01   0.51878544E-01   0.38972622
  11.013982       0.29860445E-01   0.58961046E-01   0.43173909
  11.044662       0.30962248E-01   0.67220966E-01   0.45370955
  11.075341       0.30630946E-01   0.75506992E-01   0.45411361
  11.106021       0.28993698E-01   0.82953294E-01   0.43346103
  11.136701       0.26411275E-01   0.88932011E-01   0.39424249
  11.167380       0.23389402E-01   0.93010148E-01   0.34063906
  11.198060       0.20490228E-01   0.94933434E-01   0.27804185
  11.228739       0.18250333E-01   0.94626230E-01   0.21250547
  11.259419       0.17114186E-01   0.92192897E-01   0.15041273
  11.290099       0.17375475E-01   0.87908035E-01   0.99134026E-01
  11.320778       0.19111271E-01   0.82185331E-01   0.70038400E-01
  11.351458       0.22144038E-01   0.75517394E-01   0.72974362E-01
  11.382137       0.26078300E-01   0.68384360E-01   0.94794012E-01
  11.412817       0.30387344E-01   0.61141831E-01   0.12121826
  11.443497       0.34513724E-01   0.53921014E-01   0.14822892
  11.474176       0.37977317E-01   0.46593648E-01   0.17455823
  11.504856       0.40487382E-01   0.38845221E-01   0.19849942
  11.535536       0.42042387E-01   0.30361575E-01   0.21757332
  11.566215       0.42981496E-01   0.21160871E-01   0.22911261
  11.596895       0.43921354E-01   0.12702054E-01   0.23095216
  11.627574       0.45507788E-01   0.12266154E-01   0.22192921
  11.658254       0.48036528E-01   0.21882016E-01   0.20214235
  11.688934       0.51209087E-01   0.33875254E-01   0.17302709
