# data from ifeffit
#------------------------
#   k         e00       e01       e02
  6.3000000      -0.35315602E-02  -0.64709347E-01  -0.29705636E-01
  6.3500000      -0.38970058E-02  -0.66979207E-01  -0.29523291E-01
  6.4000000      -0.28430782E-02  -0.66685945E-01  -0.26407987E-01
  6.4500000      -0.35988906E-02  -0.67527705E-01  -0.27336054E-01
  6.5000000      -0.24251236E-02  -0.67373665E-01  -0.29711424E-01
  6.5500000      -0.26527818E-02  -0.68043188E-01  -0.28925157E-01
  6.6000000       0.66446505E-03  -0.65243180E-01  -0.27889691E-01
  6.6500000      -0.18033723E-02  -0.66067874E-01  -0.28320243E-01
  6.7000000      -0.86106336E-03  -0.66879911E-01  -0.29162853E-01
  6.7500000      -0.26791015E-02  -0.65969485E-01  -0.30453815E-01
  6.8000000      -0.13967201E-02  -0.62900641E-01  -0.28736595E-01
  6.8500000       0.28515536E-02  -0.60698461E-01  -0.28419126E-01
  6.9000000      -0.37311557E-03  -0.58583940E-01  -0.30380311E-01
  6.9500000       0.23470342E-02  -0.58979459E-01  -0.32080141E-01
  7.0000000      -0.23625534E-03  -0.56735031E-01  -0.30443754E-01
  7.0500000       0.27898673E-02  -0.56409860E-01  -0.31198039E-01
  7.1000000      -0.39345387E-03  -0.56224334E-01  -0.30832615E-01
  7.1500000       0.51721566E-02  -0.49804067E-01  -0.27321255E-01
  7.2000000       0.63907193E-02  -0.48653887E-01  -0.28076683E-01
  7.2500000       0.26079012E-02  -0.51743239E-01  -0.29467738E-01
  7.3000000       0.36074701E-02  -0.50444566E-01  -0.29367674E-01
  7.3500000       0.46098698E-02  -0.55489331E-01  -0.29790442E-01
  7.4000000       0.12566742E-02  -0.55731946E-01  -0.33087175E-01
  7.4500000      -0.29361142E-02  -0.53490907E-01  -0.31807693E-01
  7.5000000      -0.10026070E-02  -0.60411346E-01  -0.35165099E-01
  7.5500000       0.76281865E-03  -0.57148638E-01  -0.31130059E-01
  7.6000000       0.99127383E-04  -0.58167494E-01  -0.31149371E-01
  7.6500000      -0.16410554E-02  -0.58885671E-01  -0.27247744E-01
  7.7000000      -0.58318506E-03  -0.65845060E-01  -0.34791414E-01
  7.7500000      -0.20489809E-02  -0.64849034E-01  -0.32262340E-01
  7.8000000      -0.13207446E-02  -0.62459156E-01  -0.28364511E-01
  7.8500000       0.64779936E-03  -0.65789107E-01  -0.28687798E-01
  7.9000000      -0.68881881E-02  -0.69353426E-01  -0.34769487E-01
  7.9500000      -0.21687947E-02  -0.65961526E-01  -0.29495875E-01
  8.0000000      -0.37042645E-02  -0.68606787E-01  -0.30594832E-01
  8.0500000      -0.54232059E-02  -0.70340818E-01  -0.31214936E-01
  8.1000000       0.96661240E-03  -0.61711724E-01  -0.30089930E-01
  8.1500000      -0.99096299E-03  -0.68489442E-01  -0.33021911E-01
  8.2000000      -0.32083082E-02  -0.58190733E-01  -0.25622267E-01
  8.2500000      -0.20445557E-02  -0.60982459E-01  -0.34292962E-01
  8.3000000      -0.37479774E-02  -0.66621050E-01  -0.33870799E-01
  8.3500000      -0.17200723E-02  -0.63319302E-01  -0.33211873E-01
  8.4000000       0.23169898E-02  -0.56341891E-01  -0.26923331E-01
  8.4500000       0.84119435E-04  -0.54597430E-01  -0.26239667E-01
  8.5000000      -0.72899146E-03  -0.54363176E-01  -0.30482455E-01
  8.5500000       0.36095179E-02  -0.56949430E-01  -0.27220169E-01
  8.6000000       0.20811266E-02  -0.55633839E-01  -0.33326575E-01
  8.6500000       0.53128196E-02  -0.49922127E-01  -0.30095349E-01
  8.7000000       0.40234855E-02  -0.51637075E-01  -0.31349714E-01
  8.7500000      -0.89484187E-03  -0.58298336E-01  -0.31264526E-01
  8.8000000       0.82658343E-02  -0.53495592E-01  -0.29365315E-01
  8.8500000       0.34624134E-02  -0.52074566E-01  -0.26795288E-01
  8.9000000       0.43550765E-02  -0.54383606E-01  -0.29108077E-01
  8.9500000       0.81005986E-03  -0.58151865E-01  -0.28249198E-01
  9.0000000       0.54308665E-02  -0.57188594E-01  -0.25680190E-01
  9.0500000      -0.13360925E-02  -0.61078640E-01  -0.31068426E-01
  9.1000000      -0.26323958E-02  -0.67114255E-01  -0.30167405E-01
  9.1500000      -0.33051115E-02  -0.63839898E-01  -0.31166011E-01
  9.2000000      -0.11661809E-02  -0.64889052E-01  -0.30833809E-01
  9.2500000       0.36241047E-02  -0.65644362E-01  -0.27938465E-01
  9.3000000      -0.37899802E-02  -0.63545660E-01  -0.32594708E-01
  9.3500000      -0.77943936E-02  -0.65942025E-01  -0.31251486E-01
  9.4000000      -0.39961087E-02  -0.61293414E-01  -0.28033187E-01
  9.4500000      -0.34839316E-03  -0.56884111E-01  -0.26100635E-01
  9.5000000      -0.10319374E-01  -0.65417938E-01  -0.35528702E-01
  9.5500000      -0.63339974E-02  -0.59772684E-01  -0.27486453E-01
  9.6000000      -0.75485109E-02  -0.66151229E-01  -0.30893499E-01
  9.6500000      -0.10963432E-02  -0.56509699E-01  -0.28568247E-01
  9.7000000      -0.65423876E-02  -0.60980873E-01  -0.29134850E-01
  9.7500000      -0.21796305E-02  -0.54021335E-01  -0.31508853E-01
  9.8000000       0.24740505E-03  -0.54418455E-01  -0.31491237E-01
