# data from ifeffit
#------------------------
#   r         chir_h0      chir_h2      chir_h4      chir_h6
  6.6574766       0.48490205E-01   0.55146867        1.0570515        1.5574910
  6.6881562       0.46862640E-01   0.54622456        1.0512195        1.5515216
  6.7188359       0.45377493E-01   0.54132578        1.0455361        1.5457354
  6.7495155       0.44065353E-01   0.53689020        1.0401560        1.5402886
  6.7801951       0.42882077E-01   0.53290841        1.0351178        1.5352094
  6.8108747       0.41704753E-01   0.52928156        1.0303780        1.5304511
  6.8415543       0.40359643E-01   0.52589336        1.0258764        1.5259774
  6.8722339       0.38671868E-01   0.52268600        1.0216092        1.5218432
  6.9029135       0.36517679E-01   0.51971079        1.0176871        1.5182407
  6.9335932       0.33863231E-01   0.51713700        1.0143686        1.5154814
  6.9642728       0.30781929E-01   0.51520471        1.0120425        1.5138667
  6.9949524       0.27448010E-01   0.51410831        1.0110525        1.5134525
  7.0256320       0.24105350E-01   0.51386409        1.0113652        1.5139775
  7.0563116       0.21010518E-01   0.51431575        1.0125810        1.5151281
  7.0869912       0.18357101E-01   0.51530683        1.0143604        1.5167860
  7.1176709       0.16217065E-01   0.51682396        1.0166146        1.5190106
  7.1483505       0.14571317E-01   0.51897908        1.0193959        1.5218741
  7.1790301       0.13479448E-01   0.52187810        1.0227342        1.5253258
  7.2097097       0.13302190E-01   0.52549957        1.0265485        1.5291709
  7.2403893       0.14654028E-01   0.52966545        1.0306461        1.5331277
  7.2710689       0.17873609E-01   0.53408812        1.0347707        1.5369025
  7.3017486       0.22713580E-01   0.53843724        1.0386561        1.5402440
  7.3324282       0.28632891E-01   0.54239565        1.0420685        1.5429751
  7.3631078       0.35067949E-01   0.54569891        1.0448349        1.5450050
  7.3937874       0.41504805E-01   0.54816109        1.0468571        1.5463265
  7.4244670       0.47493011E-01   0.54968872        1.0481157        1.5470031
  7.4551466       0.52659326E-01   0.55028349        1.0486633        1.5471488
  7.4858262       0.56724119E-01   0.55003422        1.0486101        1.5469045
  7.5165059       0.59514275E-01   0.54909933        1.0481025        1.5464137
  7.5471855       0.60967816E-01   0.54768201        1.0472982        1.5457995
  7.5778651       0.61127837E-01   0.54600138        1.0463419        1.5451470
  7.6085447       0.60125401E-01   0.54426407        1.0453461        1.5444941
  7.6392243       0.58152983E-01   0.54264079        1.0443815        1.5438335
  7.6699039       0.55431909E-01   0.54125119        1.0434785        1.5431271
  7.7005836       0.52179062E-01   0.54015743        1.0426374        1.5423275
  7.7312632       0.48579282E-01   0.53936399        1.0418400        1.5414012
  7.7619428       0.44769612E-01   0.53882035        1.0410567        1.5403434
  7.7926224       0.40838866E-01   0.53842590        1.0402476        1.5391791
  7.8233020       0.36841251E-01   0.53803950        1.0393580        1.5379472
  7.8539816       0.32817925E-01   0.53749721        1.0383165        1.5366740
  7.8846612       0.28818103E-01   0.53663942        1.0370417        1.5353479
  7.9153409       0.24912981E-01   0.53534532        1.0354616        1.5339109
  7.9460205       0.21200612E-01   0.53357157        1.0335454        1.5322801
  7.9767001       0.17806083E-01   0.53139211        1.0313440        1.5303975
  8.0073797       0.14886895E-01   0.52903534        1.0290329        1.5282983
  8.0380593       0.12651927E-01   0.52690425        1.0269417        1.5261809
  8.0687389       0.11371727E-01   0.52553195        1.0255298        1.5244489
  8.0994186       0.11289483E-01   0.52539711        1.0252415        1.5236467
  8.1300982       0.12420359E-01   0.52664247        1.0262546        1.5242011
  8.1607778       0.14516272E-01   0.52897475        1.0283459        1.5261039
  8.1914574       0.17254614E-01   0.53187059        1.0310356        1.5289024
  8.2221370       0.20366418E-01   0.53483411        1.0338277        1.5319912
  8.2528166       0.23653955E-01   0.53752133        1.0363536        1.5348605
  8.2834963       0.26983254E-01   0.53976096        1.0384127        1.5371928
  8.3141759       0.30281106E-01   0.54153151        1.0399651        1.5388750
  8.3448555       0.33530049E-01   0.54291790        1.0410972        1.5399737
  8.3755351       0.36751053E-01   0.54405238        1.0419664        1.5406830
  8.4062147       0.39970468E-01   0.54504718        1.0427279        1.5412395
  8.4368943       0.43177720E-01   0.54593584        1.0434623        1.5418205
  8.4675739       0.46288196E-01   0.54664420        1.0441295        1.5424602
  8.4982536       0.49126065E-01   0.54700154        1.0445719        1.5430265
  8.5289332       0.51433599E-01   0.54678444        1.0445601        1.5432694
  8.5596128       0.52903061E-01   0.54577388        1.0438607        1.5429095
  8.5902924       0.53221076E-01   0.54380770        1.0422980        1.5417243
  8.6209720       0.52115188E-01   0.54081937        1.0397985        1.5396084
  8.6516516       0.49395038E-01   0.53686211        1.0364156        1.5366006
  8.6823313       0.44983641E-01   0.53212351        1.0323370        1.5328866
  8.7130109       0.38936444E-01   0.52694090        1.0278851        1.5287834
  8.7436905       0.31447618E-01   0.52183453        1.0235117        1.5247100
  8.7743701       0.22845722E-01   0.51756657        1.0197765        1.5211342
  8.8050497       0.13593145E-01   0.51508896        1.0172401        1.5184646
  8.8357293       0.45247605E-02   0.51491161        1.0161669        1.5168691
  8.8664090       0.58499048E-02   0.51634040        1.0162389        1.5161410
  8.8970886       0.13852137E-01   0.51814966        1.0167581        1.5158150
  8.9277682       0.20704973E-01   0.51947269        1.0170987        1.5154408
  8.9584478       0.25808999E-01   0.51987682        1.0169000        1.5147500
  8.9891274       0.28846713E-01   0.51921722        1.0160465        1.5136791
  9.0198070       0.29659881E-01   0.51754820        1.0146157        1.5123447
  9.0504866       0.28246567E-01   0.51509918        1.0128601        1.5110304
  9.0811663       0.24757064E-01   0.51232255        1.0112312        1.5101721
  9.1118459       0.19480702E-01   0.51005692        1.0103779        1.5102234
  9.1425255       0.12827865E-01   0.50955937        1.0108531        1.5113404
  9.1732051       0.53679938E-02   0.51134373        1.0126019        1.5132745
  9.2038847       0.33489917E-02   0.51445860        1.0150910        1.5156385
  9.2345643       0.10965781E-01   0.51789034        1.0178038        1.5181082
  9.2652440       0.18278579E-01   0.52107468        1.0203881        1.5204457
  9.2959236       0.24673096E-01   0.52371698        1.0226153        1.5224724
  9.3266032       0.29848389E-01   0.52566579        1.0243339        1.5240500
  9.3572828       0.33641409E-01   0.52685942        1.0254469        1.5250735
  9.3879624       0.36018253E-01   0.52730008        1.0259021        1.5254725
  9.4186420       0.37061664E-01   0.52703690        1.0256894        1.5252150
  9.4493217       0.36946530E-01   0.52615163        1.0248392        1.5243113
  9.4800013       0.35903800E-01   0.52474515        1.0234196        1.5228153
