# data from ifeffit
#------------------------
#   r         chir_kw0      chir_kw1      chir_kw2      chir_kw3
  5.0928162       0.30356798        4.5407876        8.7509698        12.939506
  5.1234958       0.38132332        4.5397838        8.6960683        12.813409
  5.1541754       0.45834653        4.5480954        8.6502559        12.693938
  5.1848551       0.53194760        4.5640855        8.6164431        12.589835
  5.2155347       0.60222251        4.5874120        8.5984502        12.515120
  5.2462143       0.67025426        4.6186106        8.6001408        12.487713
  5.2768939       0.73725163        4.6583870        8.6239133        12.518375
  5.3075735       0.80403949        4.7069280        8.6694657        12.600067
  5.3382531       0.87075769        4.7634605        8.7337529        12.715805
  5.3689328       0.93673588        4.8261400        8.8119388        12.850424
  5.3996124        1.0005212        4.8921981        8.8984442        12.993108
  5.4302920        1.0600239        4.9582249        8.9875877        13.135824
  5.4609716        1.1127395        5.0204828        9.0738699        13.271863
  5.4916512        1.1560108        5.0752072        9.1521108        13.395120
  5.5223308        1.1872992        5.1188803        9.2175745        13.499884
  5.5530105        1.2044447        5.1484805        9.2661288        13.580937
  5.5836901        1.2058949        5.1617013        9.2944337        13.633788
  5.6143697        1.1908872        5.1571316        9.3001324        13.654964
  5.6450493        1.1595686        5.1343838        9.2820155        13.642287
  5.6757289        1.1130405        5.0941580        9.2401331        13.595085
  5.7064085        1.0533211        5.0382336        9.1758374        13.514311
  5.7370881       0.98322195        4.9693888        9.0917547        13.402556
  5.7677678       0.90614407        4.8912518        8.9916942        13.263948
  5.7984474       0.82580485        4.8080951        8.8805232        13.103969
  5.8291270       0.74591434        4.7245774        8.7640475        12.929208
  5.8598066       0.66983147        4.6454255        8.6489538        12.747143
  5.8904862       0.60024517        4.5750237        8.5428358        12.566127
  5.9211658       0.53894608        4.5168647        8.4541282        12.396203
  5.9518455       0.48676434        4.4728962        8.3911149        12.253307
  5.9825251       0.44372205        4.4430110        8.3585677        12.174417
  6.0132047       0.40936713        4.4251015        8.3533337        12.197622
  6.0438843       0.38315178        4.4158402        8.3651170        12.267942
  6.0745639       0.36467508        4.4117727        8.3827468        12.334622
  6.1052435       0.35367967        4.4101280        8.3984999        12.383271
  6.1359232       0.34984640        4.4091235        8.4085216        12.411212
  6.1666028       0.35256315        4.4079040        8.4118250        12.419993
  6.1972824       0.36084541        4.4063232        8.4093136        12.413532
  6.2279620       0.37344667        4.4046900        8.4030384        12.397445
  6.2586416       0.38905180        4.4035166        8.3955614        12.378491
  6.2893212       0.40642140        4.4032761        8.3893119        12.363566
  6.3200008       0.42443139        4.4041846        8.3859499        12.357915
  6.3506805       0.44203394        4.4060488        8.3859073        12.363170
  6.3813601       0.45820085        4.4082248        8.3883173        12.376862
  6.4120397       0.47190151        4.4097053        8.3913704        12.394017
  6.4427193       0.48213747        4.4093058        8.3929016        12.409377
  6.4733989       0.48802464        4.4058919        8.3909458        12.418793
  6.5040785       0.48889472        4.3985835        8.3841151        12.419720
  6.5347582       0.48438248        4.3868966        8.3717731        12.411188
  6.5654378       0.47447258        4.3707993        8.3540506        12.393610
  6.5961174       0.45949253        4.3506836        8.3317433        12.368505
  6.6267970       0.44005380        4.3272637        8.3061263        12.338197
  6.6574766       0.41695629        4.3014225        8.2787102        12.305477
  6.6881562       0.39108220        4.2740398        8.2509659        12.273212
  6.7188359       0.36330912        4.2458399        8.2240617        12.243890
  6.7495155       0.33446874        4.2173015        8.1986761        12.219141
  6.7801951       0.30536461        4.1886565        8.1749563        12.199391
  6.8108747       0.27684293        4.1599786        8.1526594        12.183881
  6.8415543       0.24988775        4.1313334        8.1314388        12.171158
  6.8722339       0.22568894        4.1029529        8.1111736        12.159753
  6.9029135       0.20560705        4.0754384        8.0922453        12.148689
  6.9335932       0.19095016        4.0502207        8.0757135        12.137611
  6.9642728       0.18255224        4.0315520        8.0633105        12.126653
  6.9949524       0.18035952        4.0300320        8.0568689        12.116222
  7.0256320       0.18338681        4.0441792        8.0568694        12.106896
  7.0563116       0.19013685        4.0620086        8.0618200        12.099588
  7.0869912       0.19913716        4.0796765        8.0699105        12.095900
  7.1176709       0.20923845        4.0966632        8.0804208        12.098184
  7.1483505       0.21961949        4.1132406        8.0935576        12.108573
  7.1790301       0.22962879        4.1297166        8.1096681        12.127535
  7.2097097       0.23860459        4.1460860        8.1286249        12.153684
  7.2403893       0.24576296        4.1619038        8.1496514        12.184737
  7.2710689       0.25018751        4.1763437        8.1714838        12.218255
  7.3017486       0.25090799        4.1883744        8.1926511        12.251940
  7.3324282       0.24702881        4.1969766        8.2117323        12.283736
  7.3631078       0.23786401        4.2013410        8.2275523        12.311910
  7.3937874       0.22304511        4.2010207        8.2393110        12.335116
  7.4244670       0.20258304        4.1960303        8.2466508        12.352447
  7.4551466       0.17687837        4.1868941        8.2496647        12.363451
  7.4858262       0.14668469        4.1746516        8.2488473        12.368117
  7.5165059       0.11303885        4.1608238        8.2449978        12.366826
  7.5471855       0.77191169E-01    4.1473239        8.2390854        12.360282
  7.5778651       0.40708821E-01    4.1362472        8.2321014        12.349435
  7.6085447       0.11050331E-01    4.1294352        8.2249216        12.335401
  7.6392243       0.35550918E-01    4.1278545        8.2182093        12.319389
  7.6699039       0.68745636E-01    4.1312045        8.2123732        12.302616
  7.7005836       0.99916408E-01    4.1381887        8.2075747        12.286197
  7.7312632       0.12821890        4.1471990        8.2037587        12.271004
  7.7619428       0.15332065        4.1568243        8.2006809        12.257486
  7.7926224       0.17507764        4.1660032        8.1979239        12.245521
  7.8233020       0.19345979        4.1739800        8.1949193        12.234379
  7.8539816       0.20852450        4.1802302        8.1910041        12.222845
