# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  5.5000000       -1.0394926        1.0000000       0.85322201       0.80014860        1.0000000        1.0000000       0.89516329
  5.5500000      -0.84047398        1.0000000       0.85873092       0.80739993        1.0000000        1.0000000       0.89924363
  5.6000000      -0.57638322        1.0000000       0.86415220       0.81455542        1.0000000        1.0000000       0.90324720
  5.6500000      -0.21936552        1.0000000       0.86948447       0.82161225        1.0000000        1.0000000       0.90717365
  5.7000000       0.11757116        1.0000000       0.87472639       0.82856762        1.0000000        1.0000000       0.91102265
  5.7500000       0.34080064        1.0000000       0.87987661       0.83541877        1.0000000        1.0000000       0.91479387
  5.8000000       0.43595750        1.0000000       0.88493382       0.84216298        1.0000000        1.0000000       0.91848699
  5.8500000       0.43520364        1.0000000       0.88989675       0.84879756        1.0000000        1.0000000       0.92210169
  5.9000000       0.40303379        1.0000000       0.89476412       0.85531985        1.0000000        1.0000000       0.92563766
  5.9500000       0.39646881        1.0000000       0.89953468       0.86172724        1.0000000        1.0000000       0.92909461
  6.0000000       0.45209434        1.0000000       0.90420722       0.86801715        1.0000000        1.0000000       0.93247223
  6.0500000       0.56541736        1.0000000       0.90878055       0.87418706        1.0000000        1.0000000       0.93577024
  6.1000000       0.70173731        1.0000000       0.91325348       0.88023446        1.0000000        1.0000000       0.93898836
  6.1500000       0.82017221        1.0000000       0.91762489       0.88615691        1.0000000        1.0000000       0.94212631
  6.2000000       0.91217552        1.0000000       0.92189363       0.89195201        1.0000000        1.0000000       0.94518383
  6.2500000       0.95233770        1.0000000       0.92605862       0.89761740        1.0000000        1.0000000       0.94816065
  6.3000000       0.91309827        1.0000000       0.93011879       0.90315077        1.0000000        1.0000000       0.95105652
  6.3500000       0.79990706        1.0000000       0.93407309       0.90854987        1.0000000        1.0000000       0.95387119
  6.4000000       0.60963902        1.0000000       0.93792050       0.91381248        1.0000000        1.0000000       0.95660442
  6.4500000       0.33430455        1.0000000       0.94166003       0.91893646        1.0000000        1.0000000       0.95925598
  6.5000000       0.13378451E-01    1.0000000       0.94529072       0.92391969        1.0000000        1.0000000       0.96182564
  6.5500000      -0.34858131        1.0000000       0.94881164       0.92876013        1.0000000        1.0000000       0.96431319
  6.6000000      -0.70284737        1.0000000       0.95222186       0.93345579        1.0000000        1.0000000       0.96671840
  6.6500000       -1.0189567        1.0000000       0.95552052       0.93800472        1.0000000        1.0000000       0.96904108
  6.7000000       -1.2118005        1.0000000       0.95870675       0.94240506        1.0000000        1.0000000       0.97128103
  6.7500000       -1.2766048        1.0000000       0.96177973       0.94665498        1.0000000        1.0000000       0.97343805
  6.8000000       -1.2308441        1.0000000       0.96473868       0.95075271        1.0000000        1.0000000       0.97551197
  6.8500000       -1.0557534        1.0000000       0.96758281       0.95469656        1.0000000        1.0000000       0.97750260
  6.9000000      -0.80077303        1.0000000       0.97031140       0.95848490        1.0000000        1.0000000       0.97940977
  6.9500000      -0.52204795        1.0000000       0.97292373       0.96211614        1.0000000        1.0000000       0.98123332
  7.0000000      -0.23459187        1.0000000       0.97541914       0.96558877        1.0000000        1.0000000       0.98297310
  7.0500000       0.26783873E-01    1.0000000       0.97779696       0.96890135        1.0000000        1.0000000       0.98462896
  7.1000000       0.23085564        1.0000000       0.98005659       0.97205249        1.0000000        1.0000000       0.98620075
  7.1500000       0.37740542        1.0000000       0.98219743       0.97504088        1.0000000        1.0000000       0.98768834
  7.2000000       0.47820528        1.0000000       0.98421894       0.97786526        1.0000000        1.0000000       0.98909161
  7.2500000       0.54532946        1.0000000       0.98612058       0.98052446        1.0000000        1.0000000       0.99041043
  7.3000000       0.57743863        1.0000000       0.98790186       0.98301737        1.0000000        1.0000000       0.99164470
  7.3500000       0.57387957        1.0000000       0.98956232       0.98534293        1.0000000        1.0000000       0.99279430
  7.4000000       0.53924569        1.0000000       0.99110152       0.98750017        1.0000000        1.0000000       0.99385914
  7.4500000       0.47445262        1.0000000       0.99251907       0.98948818        1.0000000        1.0000000       0.99483912
  7.5000000       0.38071367        1.0000000       0.99381459       0.99130614        1.0000000        1.0000000       0.99573418
  7.5500000       0.26872994        1.0000000       0.99498775       0.99295327        1.0000000        1.0000000       0.99654422
  7.6000000       0.14021465        1.0000000       0.99603824       0.99442889        1.0000000        1.0000000       0.99726917
  7.6500000       0.18815583E-01    1.0000000       0.99696579       0.99573237        1.0000000        1.0000000       0.99790899
  7.7000000      -0.76845374E-01    1.0000000       0.99777015       0.99686317        1.0000000        1.0000000       0.99846360
  7.7500000      -0.13477969        1.0000000       0.99845113       0.99782080        1.0000000        1.0000000       0.99893297
  7.8000000      -0.14735801        1.0000000       0.99900853       0.99860487        1.0000000        1.0000000       0.99931706
  7.8500000      -0.14951601        1.0000000       0.99944221       0.99921505        1.0000000        1.0000000       0.99961583
  7.9000000      -0.17182629        1.0000000       0.99975207       0.99965107        1.0000000        1.0000000       0.99982925
  7.9500000      -0.21488246        1.0000000       0.99993801       0.99991276        1.0000000        1.0000000       0.99995731
  8.0000000      -0.26009739        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000
  8.0500000      -0.29580365        1.0000000       0.99993801       0.99991276        1.0000000        1.0000000       0.99995731
  8.1000000      -0.31104202        1.0000000       0.99975207       0.99965107        1.0000000        1.0000000       0.99982925
  8.1500000      -0.26244465        1.0000000       0.99944221       0.99921505        1.0000000        1.0000000       0.99961583
  8.2000000      -0.21472279        1.0000000       0.99900853       0.99860487        1.0000000        1.0000000       0.99931706
  8.2500000      -0.13333428        1.0000000       0.99845113       0.99782080        1.0000000        1.0000000       0.99893297
  8.3000000      -0.43225553E-01    1.0000000       0.99777015       0.99686317        1.0000000        1.0000000       0.99846360
  8.3500000       0.10180201        1.0000000       0.99696579       0.99573237        1.0000000        1.0000000       0.99790899
  8.4000000       0.22306169        1.0000000       0.99603824       0.99442889        1.0000000        1.0000000       0.99726917
  8.4500000       0.31804757        1.0000000       0.99498775       0.99295327        1.0000000        1.0000000       0.99654422
  8.5000000       0.38651688        1.0000000       0.99381459       0.99130614        1.0000000        1.0000000       0.99573418
  8.5500000       0.40683024        1.0000000       0.99251907       0.98948818        1.0000000        1.0000000       0.99483912
  8.6000000       0.36841146        1.0000000       0.99110152       0.98750017        1.0000000        1.0000000       0.99385914
  8.6500000       0.28835050        1.0000000       0.98956232       0.98534293        1.0000000        1.0000000       0.99279430
  8.7000000       0.16639340        1.0000000       0.98790186       0.98301737        1.0000000        1.0000000       0.99164470
  8.7500000       0.25963959E-01    1.0000000       0.98612058       0.98052446        1.0000000        1.0000000       0.99041043
  8.8000000      -0.13927806        1.0000000       0.98421894       0.97786526        1.0000000        1.0000000       0.98909161
  8.8500000      -0.26955265        1.0000000       0.98219743       0.97504088        1.0000000        1.0000000       0.98768834
  8.9000000      -0.33872682        1.0000000       0.98005659       0.97205249        1.0000000        1.0000000       0.98620075
  8.9500000      -0.37765823        1.0000000       0.97779696       0.96890135        1.0000000        1.0000000       0.98462896
  9.0000000      -0.37597261        1.0000000       0.97541914       0.96558877        1.0000000        1.0000000       0.98297310
  9.0500000      -0.16343316        1.0000000       0.97292373       0.96211614        1.0000000        1.0000000       0.98123332
  9.1000000      -0.18867731        1.0000000       0.97031140       0.95848490        1.0000000        1.0000000       0.97940977
  9.1500000      -0.29160492        1.0000000       0.96758281       0.95469656        1.0000000        1.0000000       0.97750260
