# data from ifeffit
#------------------------
#   r         chir_h3      chir_p3      chir_k3      chir_k5
  4.1724277       0.16896866       0.66118164        1.1680905        1.6608450
  4.2031074       0.19685782       0.68927564        1.1891157        1.6779966
  4.2337870       0.22293008       0.71543807        1.2076492        1.6941423
  4.2644666       0.24652804       0.73890671        1.2232878        1.7086201
  4.2951462       0.26716865       0.75923166        1.2359962        1.7210299
  4.3258258       0.28453778       0.77621310        1.2459919        1.7312114
  4.3565054       0.29849816       0.78985666        1.2536356        1.7392131
  4.3871851       0.30909523       0.80033141        1.2593316        1.7452453
  4.4178647       0.31655153       0.80792769        1.2634560        1.7496183
  4.4485443       0.32124391       0.81301651        1.2663190        1.7526743
  4.4792239       0.32366040       0.81601175        1.2681637        1.7547259
  4.5099035       0.32433759       0.81733516        1.2691883        1.7560145
  4.5405831       0.32378477       0.81738227        1.2695739        1.7566955
  4.5712627       0.32240664       0.81648795        1.2694992        1.7568475
  4.6019424       0.32044155       0.81489303        1.2691293        1.7564938
  4.6326220       0.31793154       0.81271734        1.2685768        1.7556222
  4.6633016       0.31473378       0.80994740        1.2678490        1.7541938
  4.6939812       0.31057171       0.80644596        1.2668016        1.7521397
  4.7246608       0.30511245       0.80198555        1.2651259        1.7493516
  4.7553404       0.29805154       0.79630133        1.2623824        1.7456794
  4.7860201       0.28918657       0.78915230        1.2580791        1.7409430
  4.8166997       0.27846691       0.78037788        1.2517756        1.7349617
  4.8473793       0.26601347       0.76993846        1.2431855        1.7275934
  4.8780589       0.25210813       0.75793300        1.2322520        1.7187744
  4.9087385       0.23715718       0.74459234        1.2191815        1.7085460
  4.9394181       0.22163655       0.73025147        1.2044287        1.6970639
  4.9700978       0.20602951       0.71530886        1.1886370        1.6845868
  5.0007774       0.19077031       0.70018355        1.1725493        1.6714522
  5.0314570       0.17620894       0.68528201        1.1569066        1.6580484
  5.0621366       0.16261013       0.67098641        1.1423609        1.6447950
  5.0928162       0.15019395       0.65767163        1.1294275        1.6321426
  5.1234958       0.13921366       0.64575099        1.1184947        1.6205936
  5.1541754       0.13005117       0.63573808        1.1098906        1.6107394
  5.1848551       0.12328862       0.62829140        1.1039774        1.6032824
  5.2155347       0.11969005       0.62418482        1.1012111        1.5989905
  5.2462143       0.12002816       0.62414785        1.1020916        1.5985270
  5.2768939       0.12478265       0.62860234        1.1069840        1.6021974
  5.3075735       0.13389314       0.63745397        1.1159078        1.6097904
  5.3382531       0.14675058       0.65009109        1.1284397        1.6206442
  5.3689328       0.16238776       0.66555335        1.1437671        1.6338408
  5.3996124       0.17968885       0.68271701        1.1608081        1.6483693
  5.4302920       0.19751754       0.70041245        1.1783275        1.6632073
  5.4609716       0.21477398       0.71748400        1.1950366        1.6773612
  5.4916512       0.23042215       0.73282861        1.2096884        1.6898995
  5.5223308       0.24351489       0.74543597        1.2211745        1.6999968
  5.5530105       0.25322577       0.75443567        1.2286152        1.7069806
  5.5836901       0.25888675       0.75914714        1.2314321        1.7103746
  5.6143697       0.26002648       0.75912504        1.2293909        1.7099277
  5.6450493       0.25640310       0.75419241        1.2226085        1.7056229
  5.6757289       0.24802661       0.74445641        1.2115232        1.6976660
  5.7064085       0.23516748       0.73030403        1.1968327        1.6864542
  5.7370881       0.21835093       0.71237888        1.1794115        1.6725323
  5.7677678       0.19833885       0.69154318        1.1602171        1.6565416
  5.7984474       0.17610464       0.66883258        1.1402017        1.6391712
  5.8291270       0.15280951       0.64541451        1.1202397        1.6211171
  5.8598066       0.12979075       0.62256298        1.1010853        1.6030568
  5.8904862       0.10856716       0.60165880        1.0833711        1.5856458
  5.9211658       0.90825631E-01   0.58419333        1.0676619        1.5695447
  5.9518455       0.78222972E-01   0.57164164        1.0545737        1.5554887
  5.9825251       0.71713541E-01   0.56492384        1.0449158        1.5443868
  6.0132047       0.70666736E-01   0.56357418        1.0396066        1.5372954
  6.0438843       0.73023403E-01   0.56575054        1.0389476        1.5348212
  6.0745639       0.76549355E-01   0.56935876        1.0418933        1.5361855
  6.1052435       0.79699980E-01   0.57290862        1.0466804        1.5396070
  6.1359232       0.81704323E-01   0.57561272        1.0518440        1.5435563
  6.1666028       0.82365006E-01   0.57719907        1.0564815        1.5471761
  6.1972824       0.81862723E-01   0.57773567        1.0601454        1.5501153
  6.2279620       0.80607672E-01   0.57751040        1.0627317        1.5523308
  6.2586416       0.79112274E-01   0.57693567        1.0644004        1.5539585
  6.2893212       0.77862383E-01   0.57644699        1.0654840        1.5552185
  6.3200008       0.77189984E-01   0.57638665        1.0663583        1.5563289
  6.3506805       0.77181459E-01   0.57689702        1.0672877        1.5574286
  6.3813601       0.77663452E-01   0.57787001        1.0683065        1.5585280
  6.4120397       0.78274086E-01   0.57898187        1.0691981        1.5595067
  6.4427193       0.78580311E-01   0.57979484        1.0695845        1.5601554
