# data from ifeffit
#------------------------
#   r         chir_mag     chir_mag     chir_mag
  6.0132047       0.88663443E-02   0.14694546E-01   0.17276576E-01
  6.0438843       0.95946873E-02   0.10296408E-01   0.88951768E-02
  6.0745639       0.11977465E-01   0.81025665E-02   0.39031851E-02
  6.1052435       0.16440944E-01   0.76493470E-02   0.10768677E-01
  6.1359232       0.21648252E-01   0.75520885E-02   0.16665971E-01
  6.1666028       0.26183571E-01   0.83437861E-02   0.19239226E-01
  6.1972824       0.29114734E-01   0.11460287E-01   0.18157930E-01
  6.2279620       0.30101730E-01   0.16383719E-01   0.14080409E-01
  6.2586416       0.29468008E-01   0.21594630E-01   0.92617448E-02
  6.2893212       0.28193925E-01   0.25829066E-01   0.94610801E-02
  6.3200008       0.27612550E-01   0.28287513E-01   0.15035208E-01
  6.3506805       0.28572592E-01   0.28734829E-01   0.20509361E-01
  6.3813601       0.30692881E-01   0.27606432E-01   0.23620081E-01
  6.4120397       0.32759029E-01   0.26035295E-01   0.23639444E-01
  6.4427193       0.33646624E-01   0.25513603E-01   0.20789403E-01
  6.4733989       0.32815110E-01   0.26860380E-01   0.16360675E-01
  6.5040785       0.30415596E-01   0.29426150E-01   0.13253282E-01
  6.5347582       0.27233982E-01   0.31780768E-01   0.14656430E-01
  6.5654378       0.24455393E-01   0.32753625E-01   0.18848393E-01
  6.5961174       0.23047030E-01   0.31843562E-01   0.22379895E-01
  6.6267970       0.22949402E-01   0.29267681E-01   0.23540591E-01
  6.6574766       0.23132008E-01   0.25901579E-01   0.21895148E-01
  6.6881562       0.22517861E-01   0.23063691E-01   0.17941640E-01
  6.7188359       0.20582312E-01   0.21846337E-01   0.13171138E-01
  6.7495155       0.17414109E-01   0.22149990E-01   0.10495523E-01
  6.7801951       0.13582091E-01   0.22780763E-01   0.12062733E-01
  6.8108747       0.99729773E-02   0.22556991E-01   0.15134521E-01
  6.8415543       0.75313145E-02   0.20920023E-01   0.16925134E-01
  6.8722339       0.65151078E-02   0.17942747E-01   0.16451304E-01
  6.9029135       0.59802882E-02   0.14173665E-01   0.13737829E-01
  6.9335932       0.49732065E-02   0.10482519E-01   0.94846792E-02
  6.9642728       0.34551519E-02   0.78730234E-02   0.52574554E-02
  6.9949524       0.28072559E-02   0.68669320E-02   0.48769655E-02
  7.0256320       0.44058308E-02   0.67499943E-02   0.77217846E-02
  7.0563116       0.65470764E-02   0.65586458E-02   0.97294125E-02
  7.0869912       0.81666898E-02   0.61421345E-02   0.98713481E-02
  7.1176709       0.89870878E-02   0.59970137E-02   0.81130832E-02
  7.1483505       0.92038367E-02   0.65263548E-02   0.49432717E-02
  7.1790301       0.94278647E-02   0.74195310E-02   0.20160742E-02
  7.2097097       0.10350237E-01   0.80800252E-02   0.43564552E-02
  7.2403893       0.12096031E-01   0.82067343E-02   0.76070824E-02
  7.2710689       0.14142473E-01   0.79946572E-02   0.96558919E-02
  7.3017486       0.15836085E-01   0.81322664E-02   0.10071923E-01
  7.3324282       0.16734098E-01   0.92913547E-02   0.88957993E-02
  7.3631078       0.16709653E-01   0.11333455E-01   0.67190052E-02
  7.3937874       0.15977172E-01   0.13531977E-01   0.52083985E-02
  7.4244670       0.15053704E-01   0.15207068E-01   0.65051690E-02
  7.4551466       0.14560387E-01   0.15955611E-01   0.92444562E-02
  7.4858262       0.14806556E-01   0.15702586E-01   0.11487638E-01
  7.5165059       0.15514807E-01   0.14726901E-01   0.12414037E-01
  7.5471855       0.16082122E-01   0.13641301E-01   0.11805494E-01
  7.5778651       0.16010158E-01   0.13178161E-01   0.99310469E-02
  7.6085447       0.15111302E-01   0.13658346E-01   0.76643040E-02
  7.6392243       0.13535929E-01   0.14671760E-01   0.66854458E-02
  7.6699039       0.11721287E-01   0.15489818E-01   0.79596777E-02
  7.7005836       0.10247367E-01   0.15569038E-01   0.99859724E-02
  7.7312632       0.94996697E-02   0.14720242E-01   0.11300383E-01
  7.7619428       0.93085099E-02   0.13106738E-01   0.11299806E-01
  7.7926224       0.91167823E-02   0.11197746E-01   0.99417764E-02
  7.8233020       0.84669746E-02   0.96547691E-02   0.76321517E-02
  7.8539816       0.72087356E-02   0.89846742E-02   0.53348182E-02
  7.8846612       0.54610443E-02   0.90503242E-02   0.47475960E-02
  7.9153409       0.35121413E-02   0.92137841E-02   0.60681468E-02
  7.9460205       0.17230874E-02   0.89414753E-02   0.74408545E-02
  7.9767001       0.52280459E-03   0.80397974E-02   0.78696099E-02
  8.0073797       0.54486313E-03   0.65972561E-02   0.71188689E-02
  8.0380593       0.54952947E-03   0.48748783E-02   0.53515738E-02
  8.0687389       0.88969994E-03   0.32053780E-02   0.30509051E-02
  8.0994186       0.21282903E-02   0.19144498E-02   0.16592502E-02
  8.1300982       0.36921308E-02   0.12739331E-02   0.30503804E-02
  8.1607778       0.52110700E-02   0.13661931E-02   0.45408769E-02
  8.1914574       0.64101803E-02   0.20193326E-02   0.51501058E-02
  8.2221370       0.71279041E-02   0.30761651E-02   0.47274306E-02
  8.2528166       0.73628837E-02   0.43206058E-02   0.34238239E-02
  8.2834963       0.73049365E-02   0.54809307E-02   0.18261816E-02
  8.3141759       0.73015649E-02   0.63140522E-02   0.20900387E-02
  8.3448555       0.76712321E-02   0.66783209E-02   0.39129384E-02
  8.3755351       0.84364098E-02   0.65961189E-02   0.54436571E-02
  8.4062147       0.93145087E-02   0.63038136E-02   0.61940903E-02
  8.4368943       0.99594074E-02   0.62263437E-02   0.60282322E-02
  8.4675739       0.10145349E-01   0.67116494E-02   0.50784214E-02
  8.4982536       0.98327957E-02   0.76748119E-02   0.38611647E-02
  8.5289332       0.91765767E-02   0.87064072E-02   0.35053922E-02
  8.5596128       0.84860579E-02   0.94137316E-02   0.45867107E-02
  8.5902924       0.80888543E-02   0.95748024E-02   0.60459798E-02
  8.6209720       0.80960206E-02   0.91707739E-02   0.70342609E-02
  8.6516516       0.82996051E-02   0.83902233E-02   0.72037908E-02
  8.6823313       0.83616815E-02   0.76034683E-02   0.65208221E-02
  8.7130109       0.80420011E-02   0.72222307E-02   0.52421142E-02
  8.7436905       0.72843257E-02   0.73869040E-02   0.40135201E-02
  8.7743701       0.62112730E-02   0.78197647E-02   0.38443035E-02
  8.8050497       0.50842120E-02   0.81027002E-02   0.47862849E-02
  8.8357293       0.42172581E-02   0.79551246E-02   0.58094867E-02
  8.8664090       0.37766978E-02   0.73028648E-02   0.62603898E-02
  8.8970886       0.35922882E-02   0.62574315E-02   0.59278204E-02
  8.9277682       0.33359908E-02   0.50805067E-02   0.48827614E-02
  8.9584478       0.28116395E-02   0.41306507E-02   0.34454677E-02
  8.9891274       0.20187213E-02   0.36924399E-02   0.23351950E-02
  9.0198070       0.11352219E-02   0.36817372E-02   0.25501201E-02
  9.0504866       0.74649723E-03   0.37376457E-02   0.34546032E-02
  9.0811663       0.12429979E-02   0.36073121E-02   0.40423805E-02
  9.1118459       0.17397062E-02   0.32498635E-02   0.39869970E-02
  9.1425255       0.20056159E-02   0.27697061E-02   0.32744481E-02
  9.1732051       0.21604125E-02   0.23256599E-02   0.20775319E-02
  9.2038847       0.24768458E-02   0.20190068E-02   0.86922964E-03
  9.2345643       0.31118091E-02   0.18215148E-02   0.13447513E-02
  9.2652440       0.39419529E-02   0.16830727E-02   0.24336222E-02
  9.2959236       0.47376563E-02   0.17240407E-02   0.30988763E-02
  9.3266032       0.53152011E-02   0.21555888E-02   0.31678096E-02
  9.3572828       0.55845904E-02   0.29266494E-02   0.26579442E-02
  9.3879624       0.55679520E-02   0.37950053E-02   0.17928674E-02
  9.4186420       0.54022655E-02   0.45366501E-02   0.13452869E-02
  9.4493217       0.52993919E-02   0.49973006E-02   0.21374057E-02
  9.4800013       0.54255960E-02   0.51120901E-02   0.32128473E-02
  9.5106809       0.57652522E-02   0.49285843E-02   0.39682353E-02
  9.5413605       0.61380080E-02   0.46236122E-02   0.41953316E-02
  9.5720401       0.63411975E-02   0.44704136E-02   0.38668202E-02
