# data from ifeffit
#------------------------
#   k         chi       chix      chix      chix      kwin
  6.7000000       0.40001987       0.84922962        2.5712507        3.4204803        1.0000000
  6.7500000       0.29005821       0.79665500        2.7277720        3.5244270        1.0000000
  6.8000000       0.17359063       0.76243140        2.8973225        3.6597539        1.0000000
  6.8500000       0.53645172E-01   0.74728469        3.0708855        3.8181702        1.0000000
  6.9000000      -0.66685630E-01   0.75144642        3.2393064        3.9907528        1.0000000
  6.9500000      -0.18432463       0.77465181        3.3937759        4.1684277        1.0000000
  7.0000000      -0.29628890       0.81615065        3.5262915        4.3424421        1.0000000
  7.0500000      -0.39976557       0.87473055        3.6300719        4.5048025        1.0000000
  7.1000000      -0.49218253       0.94875190        3.6999045        4.6486564        1.0000000
  7.1500000      -0.57127247        1.0361935        3.7324062        4.7685997        1.0000000
  7.2000000      -0.63512846        1.1347076        3.7261869        4.8608946        1.0000000
  7.2500000      -0.68224990        1.2416832        3.6819052        4.9235883        1.0000000
  7.3000000      -0.71157746        1.3543147        3.6022161        4.9565308        1.0000000
  7.3500000      -0.72251656        1.4696763        3.4916147        4.9612910        1.0000000
  7.4000000      -0.71494851        1.5847976        3.3561826        4.9409802        1.0000000
  7.4500000      -0.68922950        1.6967404        3.2032544        4.8999948        1.0000000
  7.5000000      -0.64617723        1.8026738        3.0410203        4.8436941        1.0000000
  7.5500000      -0.58704584        1.8999458        2.8780870        4.7780327        1.0000000
  7.6000000      -0.51348991        1.9861499        2.7230210        4.7091709        1.0000000
  7.6500000      -0.42751834        2.0591846        2.5838979        4.6430825        1.0000000
  7.7000000      -0.33143969        2.1173045        2.4678816        4.5851861        1.0000000
  7.7500000      -0.22780015        2.1591619        2.3808550        4.5400170        1.0000000
  7.8000000      -0.11931612        2.1838378        2.3271228        4.5109606        1.0000000
  7.8500000      -0.88028984E-02    2.1908613        2.3091985        4.5000598        1.0000000
  7.9000000       0.10089845        2.1802180        2.3276892        4.5079072        1.0000000
  7.9500000       0.20699421        2.1523455        2.3812813        4.5336268        1.0000000
  8.0000000       0.30680924        2.1081185        2.4668277        4.5749462        1.0000000
  8.0500000       0.39785452        2.0488219        2.5795307        4.6283526        1.0000000
  8.1000000       0.47788917        1.9761141        2.7132105        4.6893246        1.0000000
  8.1500000       0.54497563        1.8919809        2.8606435        4.7526243        1.0000000
  8.2000000       0.59752643        1.7986810        3.0139527        4.8126337        1.0000000
  8.2500000       0.63434151        1.6986863        3.1650287        4.8637150        1.0000000
  8.3000000       0.65463524        1.5946154        3.3059590        4.9005744        1.0000000
  8.3500000       0.65805253        1.4891659        3.4294421        4.9186080        1.0000000
  8.4000000       0.64467370        1.3850436        3.5291665        4.9142101        1.0000000
  8.4500000       0.61500809        1.2848938        3.6001323        4.8850260        1.0000000
  8.5000000       0.56997671        1.1912334        3.6389019        4.8301352        1.0000000
  8.5500000       0.51088454        1.1063880        3.6437650        4.7501529        1.0000000
  8.6000000       0.43938314        1.0324341        3.6148110        4.6472451        1.0000000
  8.6500000       0.35742479       0.97114833        3.5539064        4.5250548        1.0000000
  8.7000000       0.26720936       0.92396500        3.4645782        4.3885432        1.0000000
  8.7500000       0.17112531       0.89194274        3.3518109        4.2437536        1.0000000
  8.8000000       0.71686562E-01   0.87574130        3.2217697        4.0975110        1.0000000
  8.8500000      -0.28533363E-01   0.87560872        3.0814635        3.9570722        1.0000000
  8.9000000      -0.12696791       0.89137933        2.9383671        3.8297464        1.0000000
  8.9500000      -0.22112324       0.92248227        2.8000230        3.7225053        1.0000000
  9.0000000      -0.30864147       0.96796046        2.6736442        3.6416047        1.0000000
  9.0500000      -0.38735962        1.0264992        2.5657376        3.5922369        1.0000000
  9.1000000      -0.45536307        1.0964638        2.4817694        3.5782332        1.0000000
  9.1500000      -0.51103194        1.1759447        2.4258887        3.6018335        1.0000000
  9.2000000      -0.55307948        1.2628098        2.4007234        3.6635333        1.0000000
  9.2500000      -0.58058143        1.3547612        2.4072585        3.7620196        1.0000000
  9.3000000      -0.59299580        1.4493958        2.4448020        3.8941978        1.0000000
  9.3500000      -0.59017253        1.5442688        2.5110402        4.0553091        1.0000000
  9.4000000      -0.57235303        1.6369561        2.6021770        4.2391331        1.0000000
  9.4500000      -0.54015967        1.7251164        2.7131500        4.4382665        1.0000000
  9.5000000      -0.49457556        1.8065506        2.8379114        4.6444621        1.0000000
  9.5500000      -0.43691527        1.8792564        2.9697568        4.8490132        1.0000000
  9.6000000      -0.36878745        1.9414772        3.1016854        5.0431627        1.0000000
  9.6500000      -0.29205020        1.9917449        3.2267719        5.2185168        1.0000000
  9.7000000      -0.20876064        2.0289136        3.3385297        5.3674432        1.0000000
  9.7500000      -0.12111983        2.0521859        3.4312469        5.4834327        1.0000000
  9.8000000      -0.31414753E-01    2.0611289        3.5002783        5.5614072        1.0000000
  9.8500000       0.58041378E-01    2.0556812        3.5422772        5.5979585        1.0000000
  9.9000000       0.14496868        2.0361505        3.5553561        5.5915066        1.0000000
  9.9500000       0.22717869        2.0032008        3.5391691        5.5423699        1.0000000
  10.000000       0.30262938        1.9578315        3.4949119        5.4527434        1.0000000
  10.050000       0.36947578        1.9013480        3.4252409        5.3265889        1.0000000
  10.100000       0.42611494        1.8353243        3.3341157        5.1694400        1.0000000
  10.150000       0.47122416        1.7615596        3.2265758        4.9881354        1.0000000
  10.200000       0.50379150        1.6820295        3.1084622        4.7904917        1.0000000
  10.250000       0.52313801        1.5988331        2.9861007        4.5849338        1.0000000
  10.300000       0.52893110        1.5141379        2.8659636        4.3801015        1.0000000
  10.350000       0.52118886        1.4301232        2.7543270        4.1844502        1.0000000
  10.400000       0.50027529        1.3489242        2.6569437        4.0058679        1.0000000
  10.450000       0.46688676        1.2725779        2.5787469        3.8513248        1.0000000
  10.500000       0.42203006        1.2029718        2.5236007        3.7265726        1.0000000
  10.550000       0.36699270        1.1417978        2.4941107        3.6359086        1.0000000
  10.600000       0.30330649        1.0905109        2.4915022        3.5820131        1.0000000
  10.650000       0.23270513        1.0502950        2.5155733        3.5658682        1.0000000
  10.700000       0.15707735        1.0220359        2.5647232        3.5867592        1.0000000
  10.750000       0.78416431E-01    1.0063027        2.6360547        3.6423575        1.0000000
  10.800000      -0.12321299E-02    1.0033368        2.7255423        3.7288790        1.0000000
  10.850000      -0.79823746E-01    1.0130498        2.8282585        3.8413084        1.0000000
