# data from ifeffit
#------------------------
#   k         chi       chi       chix
  8.5000000       0.63890188      -0.19113059        1.4477713
  8.5500000       0.64376495      -0.33229757        1.3114674
  8.6000000       0.61481100      -0.45273846        1.1620725
  8.6500000       0.55390644      -0.54566844        1.0082380
  8.7000000       0.46457817      -0.60597212       0.85860605
  8.7500000       0.35181089      -0.63048408       0.72132681
  8.8000000       0.22176973      -0.61815304       0.60361669
  8.8500000       0.81463505E-01  -0.57008101       0.51138249
  8.9000000      -0.61632941E-01  -0.48943664       0.44893042
  8.9500000      -0.19997696      -0.38124907       0.41877397
  9.0000000      -0.32635575      -0.25209551       0.42154874
  9.0500000      -0.43426236      -0.10970200       0.45603564
  9.1000000      -0.51823057       0.37518551E-01   0.51928798
  9.1500000      -0.57411127       0.18096337       0.60685210
  9.2000000      -0.59927658       0.31234254       0.71306596
  9.2500000      -0.59274154       0.42415802       0.83141648
  9.3000000      -0.55519800       0.51013135       0.95493335
  9.3500000      -0.48895977       0.56555559        1.0765958
  9.4000000      -0.39782300       0.58755189        1.1897289
  9.4500000      -0.28684995       0.57521665        1.2883667
  9.5000000      -0.16208856       0.52965209        1.3675635
  9.5500000      -0.30243189E-01   0.45387956        1.4236364
  9.6000000       0.10168544       0.35264206        1.4543275
  9.6500000       0.22677194       0.23210878        1.4588807
  9.7000000       0.33852966       0.99499852E-01    1.4380295
  9.7500000       0.43124688      -0.37345763E-01    1.3939011
  9.8000000       0.50027834      -0.17043349        1.3298448
  9.8500000       0.54227724      -0.29208007        1.2501972
  9.9000000       0.55535612      -0.39535689        1.1599992
  9.9500000       0.53916910      -0.47448428        1.0646848
  10.000000       0.49491194      -0.52515420       0.96975773
  10.050000       0.42524090      -0.54476348       0.88047742
  10.100000       0.33411573      -0.53254496       0.80157077
  10.150000       0.22657581      -0.48959024       0.73698557
  10.200000       0.10846218      -0.41876385       0.68969833
  10.250000      -0.13899283E-01  -0.32451524       0.66158548
  10.300000      -0.13403644      -0.21260081       0.65336274
  10.350000      -0.24567304      -0.89733137E-01   0.66459383
  10.400000      -0.34305632       0.36821156E-01   0.69376484
  10.450000      -0.42125315       0.15967083       0.73841769
  10.500000      -0.47639927       0.27173148       0.79533221
