# data from ifeffit
#------------------------
#   r         chirx     chirx     chirx
  8.1914574       0.42487532E-02    40.004639        80.006410
  8.2221370       0.43644638E-02    40.004373        80.007128
  8.2528166       0.41645688E-02    40.003958        80.007363
  8.2834963       0.35947496E-02    40.003292        80.007305
  8.3141759       0.27633097E-02    40.002411        80.007302
  8.3448555       0.18731615E-02    40.001455        80.007671
  8.3755351       0.11713316E-02    40.000688        80.008436
  8.4062147       0.83520441E-03    40.000680        80.009315
  8.4368943       0.70946156E-03    40.001056        80.009959
  8.4675739       0.66748624E-03    40.001354        80.010145
  8.4982536       0.10888820E-02    40.001706        80.009833
  8.5289332       0.19395667E-02    40.002291        80.009177
  8.5596128       0.29139009E-02    40.003083        80.008486
  8.5902924       0.37815939E-02    40.003918        80.008089
  8.6209720       0.43703027E-02    40.004627        80.008096
  8.6516516       0.45862759E-02    40.005099        80.008300
  8.6823313       0.44499595E-02    40.005306        80.008362
  8.7130109       0.41325128E-02    40.005322        80.008042
  8.7436905       0.39535934E-02    40.005302        80.007284
  8.7743701       0.41972515E-02    40.005413        80.006211
  8.8050497       0.48071267E-02    40.005715        80.005084
  8.8357293       0.54651299E-02    40.006112        80.004217
  8.8664090       0.58806516E-02    40.006434        80.003777
  8.8970886       0.59019168E-02    40.006541        80.003592
  8.9277682       0.55276954E-02    40.006384        80.003336
  8.9584478       0.49056875E-02    40.006017        80.002812
  8.9891274       0.43170700E-02    40.005580        80.002019
  9.0198070       0.40685709E-02    40.005238        80.001135
  9.0504866       0.42263291E-02    40.005083        80.000746
  9.0811663       0.45338905E-02    40.005055        80.001243
  9.1118459       0.46871098E-02    40.005002        80.001740
  9.1425255       0.45185098E-02    40.004787        80.002006
  9.1732051       0.40082515E-02    40.004353        80.002160
  9.2038847       0.32538749E-02    40.003740        80.002477
  9.2345643       0.24454092E-02    40.003055        80.003112
  9.2652440       0.18443615E-02    40.002444        80.003942
  9.2959236       0.16513214E-02    40.002016        80.004738
  9.3266032       0.17208358E-02    40.001753        80.005315
  9.3572828       0.17563712E-02    40.001521        80.005585
  9.3879624       0.16404956E-02    40.001204        80.005568
  9.4186420       0.14303823E-02    40.000808        80.005402
  9.4493217       0.12845889E-02    40.000570        80.005299
  9.4800013       0.13145132E-02    40.000839        80.005426
  9.5106809       0.14309807E-02    40.001280        80.005765
  9.5413605       0.14777344E-02    40.001643        80.006138
  9.5720401       0.14049500E-02    40.001881        80.006341
  9.6027197       0.13346540E-02    40.002044        80.006255
  9.6333993       0.15221355E-02    40.002243        80.005881
  9.6640790       0.20286812E-02    40.002569        80.005334
  9.6947586       0.26522507E-02    40.003010        80.004813
  9.7254382       0.31880349E-02    40.003468        80.004504
  9.7561178       0.35036949E-02    40.003835        80.004432
  9.7867974       0.35452149E-02    40.004041        80.004440
  9.8174770       0.33490028E-02    40.004078        80.004327
  9.8481567       0.30559670E-02    40.004001        80.003976
  9.8788363       0.28920083E-02    40.003915        80.003384
  9.9095159       0.30242458E-02    40.003917        80.002642
  9.9401955       0.33794704E-02    40.004032        80.001911
  9.9708751       0.37334407E-02    40.004191        80.001374
