# data from ifeffit
#------------------------
#   r         chirx0      chirx2      chirx4      chirx6
  4.0803889       0.66019524E-01   0.82787561        1.6425247        2.4322978
  4.1110685       0.10517339       0.85518967        1.6562659        2.4315532
  4.1417481       0.14392170       0.88598898        1.6707095        2.4303210
  4.1724277       0.18028180       0.91740107        1.6851839        2.4285934
  4.2031074       0.21323232       0.94784263        1.6991293        2.4263561
  4.2337870       0.24213634       0.97626307        1.7120942        2.4235972
  4.2644666       0.26662556        1.0019005        1.7237326        2.4203182
  4.2951462       0.28656798        1.0242095        1.7338040        2.4165431
  4.3258258       0.30205146        1.0428474        1.7421777        2.4123277
  4.3565054       0.31336454        1.0576756        1.7488372        2.4077667
  4.3871851       0.32096848        1.0687607        1.7538812        2.4029978
  4.4178647       0.32545841        1.0763619        1.7575190        2.3982021
  4.4485443       0.32751360        1.0809019        1.7600557        2.3935989
  4.4792239       0.32783785        1.0829160        1.7618651        2.3894320
  4.5099035       0.32709232        1.0829834        1.7633503        2.3859473
  4.5405831       0.32582517        1.0816459        1.7648919        2.3833597
  4.5712627       0.32440592        1.0793277        1.7667921        2.3818160
  4.6019424       0.32297588        1.0762733        1.7692231        2.3813604
  4.6326220       0.32142713        1.0725202        1.7721936        2.3819155
  4.6633016       0.31941889        1.0679157        1.7755397        2.3832837
  4.6939812       0.31643265        1.0621750        1.7789457        2.3851718
  4.7246608       0.31185832        1.0549668        1.7819864        2.3872265
  4.7553404       0.30509747        1.0460055        1.7841826        2.3890741
  4.7860201       0.29566790        1.0351319        1.7850574        2.3903544
  4.8166997       0.28329560        1.0223682        1.7841863        2.3907468
  4.8473793       0.26798337        1.0079406        1.7812368        2.3899867
  4.8780589       0.25004892       0.99226599        1.7759950        2.3878763
  4.9087385       0.23012782       0.97590776        1.7683816        2.3842881
  4.9394181       0.20913813       0.95950228        1.7584578        2.3791647
  4.9700978       0.18820299       0.94366863        1.7464246        2.3725145
  5.0007774       0.16852539       0.92891682        1.7326171        2.3644043
  5.0314570       0.15121181       0.91557977        1.7174983        2.3549498
  5.0621366       0.13706212       0.90379747        1.7016545        2.3443036
  5.0928162       0.12639814       0.89357303        1.6857947        2.3326433
  5.1234958       0.11905770       0.88489623        1.6707515        2.3201600
  5.1541754       0.11463284       0.87790040        1.6574730        2.3070498
  5.1848551       0.11285661       0.87299259        1.6469737        2.2935131
  5.2155347       0.11390286       0.87087841        1.6402033        2.2797799
  5.2462143       0.11839169       0.87240446        1.6378196        2.2662948
  5.2768939       0.12705533       0.87822473        1.6399572        2.2566057
  5.3075735       0.14025748       0.88846882        1.6461624        2.2648565
  5.3382531       0.15769522       0.90264262        1.6555566        2.2779732
  5.3689328       0.17842772       0.91978119        1.6670902        2.2912418
  5.3996124       0.20108930       0.93867653        1.6797309        2.3041580
  5.4302920       0.22410361       0.95804403        1.6925424        2.3164871
  5.4609716       0.24583765       0.97661406        1.7046967        2.3280285
  5.4916512       0.26471457       0.99318562        1.7154626        2.3385828
  5.5223308       0.27931179        1.0066717        1.7241979        2.3479496
  5.5530105       0.28845572        1.0161479        1.7303503        2.3559342
  5.5836901       0.29131003        1.0209025        1.7334692        2.3623580
  5.6143697       0.28744807        1.0204828        1.7332219        2.3670701
  5.6450493       0.27689801        1.0147302        1.7294124        2.3699584
  5.6757289       0.26015183        1.0037966        1.7219986        2.3709589
  5.7064085       0.23813298       0.98814053        1.7111042        2.3700629
  5.7370881       0.21212354       0.96850137        1.6970257        2.3673209
  5.7677678       0.18365679       0.94585654        1.6802336        2.3628437
  5.7984474       0.15438734       0.92136864        1.6613693        2.3567991
  5.8291270       0.12595591       0.89633495        1.6412429        2.3494067
  5.8598066       0.99871977E-01   0.87215420        1.6208392        2.3409292
  5.8904862       0.77443635E-01   0.85032160        1.6013404        2.3316612
  5.9211658       0.59778837E-01   0.83242446        1.5841609        2.3219180
  5.9518455       0.47805418E-01   0.81997301        1.5709065        2.3120215
  5.9825251       0.42021208E-01   0.81375117        1.5629749        2.3022882
  6.0132047       0.41823392E-01   0.81295869        1.5605977        2.2930167
  6.0438843       0.45501786E-01   0.81547302        1.5622927        2.2844771
  6.0745639       0.51279469E-01   0.81915653        1.5658071        2.2769022
  6.1052435       0.57882706E-01   0.82261492        1.5693348        2.2704792
  6.1359232       0.64450677E-01   0.82517414        1.5718665        2.2653375
  6.1666028       0.70405042E-01   0.82664980        1.5730405        2.2615196
  6.1972824       0.75431210E-01   0.82716881        1.5729337        2.2589243
  6.2279620       0.79493500E-01   0.82705502        1.5719012        2.2572675
  6.2586416       0.82810258E-01   0.82673661        1.5704431        2.2561901
  6.2893212       0.85753978E-01   0.82664137        1.5690751        2.2555055
  6.3200008       0.88684004E-01   0.82707578        1.5681960        2.2553524
  6.3506805       0.91768448E-01   0.82812121        1.5679826        2.2560010
  6.3813601       0.94880175E-01   0.82959849        1.5683556        2.2574348
  6.4120397       0.97619633E-01   0.83112256        1.5690353        2.2593576
  6.4427193       0.99442308E-01   0.83221684        1.5696517        2.2614578
  6.4733989       0.99819897E-01   0.83243401        1.5698539        2.2634969
  6.5040785       0.98372842E-01   0.83144624        1.5693829        2.2653021
  6.5347582       0.94946416E-01   0.82909386        1.5681042        2.2667556
  6.5654378       0.89628902E-01   0.82539628        1.5660105        2.2677891
  6.5961174       0.82721444E-01   0.82053273        1.5632042        2.2683827
  6.6267970       0.74671876E-01   0.81479967        1.5598700        2.2685632
  6.6574766       0.65985773E-01   0.80855167        1.5562394        2.2684013
  6.6881562       0.57130264E-01   0.80213397        1.5525523        2.2680052
  6.7188359       0.48450386E-01   0.79581871        1.5490170        2.2675075
  6.7495155       0.40121346E-01   0.78976159        1.5457767        2.2670445
  6.7801951       0.32155778E-01   0.78399595        1.5428894        2.2667263
  6.8108747       0.24466411E-01   0.77847180        1.5403298        2.2666072
  6.8415543       0.16957775E-01   0.77312989        1.5380136        2.2666701
  6.8722339       0.96061894E-02   0.76799192        1.5358356        2.2668377
  6.9029135       0.25089364E-02   0.76327026        1.5337081        2.2670034
  6.9335932       0.42427968E-02   0.75956866        1.5315870        2.2670678
  6.9642728       0.10315330E-01   0.75808224        1.5294847        2.2669687
  6.9949524       0.15585256E-01   0.75931970        1.5274696        2.2667024
  7.0256320       0.19960151E-01   0.76191448        1.5256567        2.2663388
  7.0563116       0.23503064E-01   0.76475246        1.5241918        2.2660280
  7.0869912       0.26441909E-01   0.76753456        1.5232272        2.2659867
  7.1176709       0.29123357E-01   0.77036072        1.5228905        2.2664458
  7.1483505       0.31899064E-01   0.77346305        1.5232535        2.2675606
  7.1790301       0.34981773E-01   0.77702017        1.5243153        2.2693416
  7.2097097       0.38353940E-01   0.78104078        1.5260106        2.2716636
  7.2403893       0.41784187E-01   0.78534678        1.5282312        2.2743293
  7.2710689       0.44924663E-01   0.78963318        1.5308470        2.2771283
  7.3017486       0.47423660E-01   0.79355139        1.5337173        2.2798682
  7.3324282       0.49011851E-01   0.79678106        1.5366958        2.2823855
  7.3631078       0.49553344E-01   0.79908074        1.5396339        2.2845486
  7.3937874       0.49066514E-01   0.80031887        1.5423860        2.2862585
  7.4244670       0.47720326E-01   0.80048740        1.5448164        2.2874484
  7.4551466       0.45808733E-01   0.79969984        1.5468079        2.2880835
  7.4858262       0.43702708E-01   0.79817444        1.5482701        2.2881599
  7.5165059       0.41779392E-01   0.79620291        1.5491467        2.2877026
  7.5471855       0.40336536E-01   0.79410593        1.5494203        2.2867631
  7.5778651       0.39519713E-01   0.79217935        1.5491139        2.2854146
  7.6085447       0.39301735E-01   0.79064157        1.5482885        2.2837473
  7.6392243       0.39529607E-01   0.78959944        1.5470354        2.2818610
  7.6699039       0.40006798E-01   0.78904758        1.5454640        2.2798566
  7.7005836       0.40560416E-01   0.78889929        1.5436845        2.2778270
  7.7312632       0.41067383E-01   0.78902785        1.5417891        2.2758472
  7.7619428       0.41445045E-01   0.78929533        1.5398348        2.2739651
  7.7926224       0.41625922E-01   0.78956167        1.5378330        2.2721976
  7.8233020       0.41535799E-01   0.78968276        1.5357516        2.2705308
  7.8539816       0.41087385E-01   0.78951176        1.5335295        2.2689279
  7.8846612       0.40193015E-01   0.78891286        1.5311014        2.2673419
  7.9153409       0.38792912E-01   0.78778881        1.5284275        2.2657302
  7.9460205       0.36892412E-01   0.78611790        1.5255251        2.2640678
  7.9767001       0.34601862E-01   0.78399442        1.5225009        2.2623583
  8.0073797       0.32172159E-01   0.78166479        1.5195866        2.2606423
  8.0380593       0.30008936E-01   0.77954176        1.5171713        2.2590068
  8.0687389       0.28621519E-01   0.77815154        1.5157637        2.2575959
  8.0994186       0.28449800E-01   0.77795385        1.5157490        2.2566077
  8.1300982       0.29620081E-01   0.77908577        1.5170492        2.2562243
  8.1607778       0.31858631E-01   0.78127048        1.5191762        2.2564598
  8.1914574       0.34664844E-01   0.78399991        1.5215974        2.2571230
  8.2221370       0.37545778E-01   0.78677984        1.5239374        2.2579797
  8.2528166       0.40146300E-01   0.78926225        1.5259938        2.2588765
  8.2834963       0.42281986E-01   0.79127540        1.5277037        2.2597558
  8.3141759       0.43922813E-01   0.79280378        1.5291109        2.2606328
  8.3448555       0.45149802E-01   0.79394234        1.5303310        2.2615700
  8.3755351       0.46091293E-01   0.79483228        1.5315099        2.2626472
  8.4062147       0.46849103E-01   0.79558868        1.5327741        2.2639309
  8.4368943       0.47435890E-01   0.79623946        1.5341850        2.2654484
  8.4675739       0.47748492E-01   0.79669889        1.5357141        2.2671785
  8.4982536       0.47588510E-01   0.79678525        1.5372473        2.2690568
  8.5289332       0.46719239E-01   0.79627201        1.5386140        2.2709903
  8.5596128       0.44935207E-01   0.79495020        1.5396251        2.2728730
  8.5902924       0.42123611E-01   0.79268284        1.5401074        2.2745980
  8.6209720       0.38308234E-01   0.78944283        1.5399280        2.2760675
  8.6516516       0.33677036E-01   0.78533487        1.5390090        2.2771985
  8.6823313       0.28602267E-01   0.78060791        1.5373325        2.2779282
  8.7130109       0.23664212E-01   0.77566844        1.5349393        2.2782163
  8.7436905       0.19659696E-01   0.77110261        1.5319232        2.2780469
  8.7743701       0.17426402E-01   0.76766909        1.5284219        2.2774289
  8.8050497       0.17224195E-01   0.76605652        1.5246088        2.2763960
  8.8357293       0.18316768E-01   0.76626718        1.5206877        2.2750054
  8.8664090       0.19615694E-01   0.76746557        1.5168966        2.2733366
  8.8970886       0.20347024E-01   0.76869165        1.5135304        2.2714896
  8.9277682       0.20133175E-01   0.76932388        1.5109777        2.2695833
  8.9584478       0.18887436E-01   0.76907346        1.5096822        2.2677521
