# data from ifeffit
#------------------------
#   r         chirr     chirr     chirr
  6.1666028       0.15673288E-02    39.991455        80.005800
  6.1972824       0.75217999E-02    39.994969        79.982273
  6.2279620       0.70376477E-02    40.001406        79.969907
  6.2586416       0.30768233E-02    40.004443        79.981840
  6.2893212      -0.65584008E-04    40.003769        80.009024
  6.3200008      -0.15900438E-02    40.003226        80.027057
  6.3506805      -0.34088059E-02    40.004547        80.018780
  6.3813601      -0.59019674E-02    40.004839        79.991022
  6.4120397      -0.63067771E-02    40.000805        79.968845
  6.4427193      -0.21782000E-02    39.994270        79.972384
  6.4733989       0.42760008E-02    39.991738        79.998302
  6.5040785       0.68720941E-02    39.997491        80.023359
  6.5347582       0.15455383E-02    40.007674        80.026207
  6.5654378      -0.83562748E-02    40.012602        80.006463
  6.5961174      -0.13928587E-01    40.006075        79.983567
  6.6267970      -0.89274318E-02    39.992456        79.977817
  6.6574766       0.35192946E-02    39.983679        79.992337
  6.6881562       0.12883318E-01    39.988231        80.012338
  6.7188359       0.10735379E-01    40.002628        80.020470
  6.7495155      -0.11184739E-02    40.014050        80.012366
  6.7801951      -0.11903773E-01    40.012081        79.998187
  6.8108747      -0.11669934E-01    39.998470        79.990907
  6.8415543      -0.44176590E-03    39.985549        79.994312
  6.8722339       0.11898894E-01    39.984810        80.001936
  6.9029135       0.14776823E-01    39.996493        80.005772
  6.9335932       0.64007426E-02    40.009868        80.004272
  6.9642728      -0.51681714E-02    40.013478        80.001735
  6.9949524      -0.98554717E-02    40.005366        80.001542
  7.0256320      -0.45691650E-02    39.993924        80.001976
  7.0563116       0.48733234E-02    39.989392        79.999315
  7.0869912       0.99030721E-02    39.994647        79.993873
  7.1176709       0.69693177E-02    40.003751        79.991083
  7.1483505      -0.25411884E-03    40.008566        79.995606
  7.1790301      -0.53585423E-02    40.006250        80.004935
  7.2097097      -0.52134495E-02    40.000616        80.010323
  7.2403893      -0.17813430E-02    39.997183        80.005228
  7.2710689       0.10336756E-02    39.997770        79.992837
  7.3017486       0.14092173E-02    39.999948        79.984265
  7.3324282       0.41322407E-03    40.000854        79.988264
  7.3631078      -0.35957658E-03    40.000448        80.002290
  7.3937874      -0.91691460E-03    40.000711        80.014134
  7.4244670      -0.22519927E-02    40.002302        80.013107
  7.4551466      -0.41436715E-02    40.003128        80.000193
  7.4858262      -0.45493476E-02    40.000800        79.987286
  7.5165059      -0.17994157E-02    39.996151        79.986145
  7.5471855       0.28049977E-02    39.993380        79.997597
  7.5778651       0.53537978E-02    39.995979        80.011147
  7.6085447       0.29677769E-02    40.002530        80.015017
  7.6392243      -0.28192628E-02    40.007194        80.006799
  7.6699039      -0.67789511E-02    40.005079        79.994837
  7.7005836      -0.46973138E-02    39.997367        79.989778
  7.7312632       0.23198818E-02    39.990828        79.994894
  7.7619428       0.83828966E-02    39.991689        80.004176
  7.7926224       0.80726705E-02    39.999608        80.009017
  7.8233020       0.15576944E-02    40.007689        80.006229
  7.8539816      -0.53849812E-02    40.008766        79.999813
  7.8846612      -0.66055666E-02    40.002040        79.995848
  7.9153409      -0.11841228E-02    39.993765        79.996526
  7.9460205       0.58451050E-02    39.991385        79.999216
  7.9767001       0.82212133E-02    39.996751        80.000459
  8.0073797       0.40911605E-02    40.004753        79.999825
  8.0380593      -0.26476958E-02    40.008363        79.999487
  8.0687389      -0.62399479E-02    40.005030        80.000696
  8.0994186      -0.42609536E-02    39.998474        80.001777
  8.1300982       0.69450171E-03    39.994668        80.000194
  8.1607778       0.39490748E-02    39.996291        79.996222
  8.1914574       0.30797298E-02    40.000910        79.993617
  8.2221370      -0.43473462E-03    40.004030        79.995931
  8.2528166      -0.32888992E-02    40.003465        80.002201
  8.2834963      -0.35840586E-02    40.000736        80.006988
  8.3141759      -0.20322362E-02    39.998730        80.005395
  8.3448555      -0.48179164E-03    39.998629        79.998247
  8.3755351       0.15048716E-03    39.999313        79.991960
  8.4062147       0.30803663E-03    39.999365        79.992703
  8.4368943       0.56209515E-03    39.998959        80.000353
  8.4675739       0.58118720E-03    39.999396        80.008271
  8.4982536      -0.32985453E-03    40.001023        80.009368
  8.5289332      -0.18684939E-02    40.002257        80.002740
  8.5596128      -0.24624910E-02    40.001159        79.994502
  8.5902924      -0.79315575E-03    39.997939        79.992043
  8.6209720       0.24158667E-02    39.995402        79.997239
  8.6516516       0.45272379E-02    39.996408        80.005015
  8.6823313       0.33476284E-02    40.000732        80.008359
  8.7130109      -0.48527985E-03    40.004733        80.004762
  8.7436905      -0.36690781E-02    40.004582        79.998027
  8.7743701      -0.31469412E-02    40.000073        79.994193
  8.8050497       0.89689454E-03    39.995161        79.995898
