# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-10:2] (relative to centroid of step function)
# .
# Fit included 60 data points and 3 variables
# R-factor = 0.00122, chi-square = 0.00193, reduced chi-square = 0.0000332
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    1.12)  0.507( 0.071)  1.164( 0.038)
# gauss           7111.40(    0.00)  0.057( 0.000)  0.882( 0.000)
# gauss           7113.20(    0.00)  0.177( 0.000)  0.898( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7119.4000       0.40437132       0.39579512       0.39579512       0.35201331E-19   0.35038245E-11   0.85761987E-02
  7119.6000       0.42353262       0.40606190       0.40606190       0.43868799E-20   0.73444720E-12   0.17470717E-01
  7119.8000       0.44204786       0.41478555       0.41478555       0.51930376E-21   0.14649963E-12   0.27262312E-01
  7120.0000       0.46208031       0.42224851       0.42224851       0.58392388E-22   0.27808030E-13   0.39831799E-01
  7120.2000       0.48011113       0.42867965       0.42867965       0.62367748E-23   0.50229820E-14   0.51431487E-01
  7120.4000       0.49724715       0.43426233       0.43426233       0.63275114E-24   0.86339742E-15   0.62984826E-01
  7120.6000       0.51698384       0.43914298       0.43914298       0.60978238E-25   0.14122696E-15   0.77840858E-01
  7120.8000       0.53678392       0.44343873       0.44343873       0.55819489E-26   0.21982757E-16   0.93345184E-01
  7121.0000       0.55678491       0.44724364       0.44724364       0.48536214E-27   0.32561504E-17   0.10954127
  7121.2000       0.57728819       0.45063369       0.45063369       0.40088055E-28   0.45897018E-18   0.12665449
  7121.4000       0.59750112       0.45367066       0.45367066       0.31450904E-29   0.61563344E-19   0.14383046
  7121.6000       0.61716076       0.45640514       0.45640514       0.23437988E-30   0.78581020E-20   0.16075562
  7121.8000       0.63768845       0.45887879       0.45887879       0.16591153E-31   0.95448880E-21   0.17880966
  7122.0000       0.66135441       0.46112624       0.46112624       0.11155830E-32   0.11032698E-21   0.20022817
  7122.2000       0.68122371       0.46317639       0.46317639       0.71251866E-34   0.12135296E-22   0.21804732
  7122.4000       0.70017982       0.46505353       0.46505353       0.43227454E-35   0.12702134E-23   0.23512629
  7122.6000       0.72538723       0.46677824       0.46677824       0.24911055E-36   0.12652046E-24   0.25860898
  7122.8000       0.74435767       0.46836801       0.46836801       0.13636209E-37   0.11992302E-25   0.27598966
  7123.0000       0.76465552       0.46983780       0.46983780       0.70902935E-39   0.10816881E-26   0.29481772
  7123.2000       0.78530694       0.47120048       0.47120048       0.35019008E-40   0.92845166E-28   0.31410646
  7123.4000       0.80629531       0.47246717       0.47246717       0.16429053E-41   0.75835796E-29   0.33382814
  7123.6000       0.82597711       0.47364753       0.47364753       0.73213345E-43   0.58944994E-30   0.35232959
  7123.8000       0.84616749       0.47474997       0.47474997       0.30991103E-44   0.43599080E-31   0.37141752
  7124.0000       0.86441436       0.47578188       0.47578188       0.12460999E-45   0.30687778E-32   0.38863247
  7124.2000       0.88200315       0.47674974       0.47674974       0.47592418E-47   0.20554707E-33   0.40525341
  7124.4000       0.90003029       0.47765926       0.47765926       0.17265999E-48   0.13101314E-34   0.42237103
  7124.6000       0.91459405       0.47851552       0.47851552       0.59499692E-50   0.79465044E-36   0.43607853
  7124.8000       0.93089213       0.47932301       0.47932301       0.19476314E-51   0.45866451E-37   0.45156913
  7125.0000       0.94649105       0.48008575       0.48008575       0.60557491E-53   0.25192534E-38   0.46640530
  7125.2000       0.96229641       0.48080732       0.48080732       0.17885374E-54   0.13167590E-39   0.48148909
  7125.4000       0.97672888       0.48149095       0.48149095       0.50176140E-56   0.65493542E-41   0.49523792
  7125.6000       0.98877187       0.48213953       0.48213953       0.13371050E-57   0.30999049E-42   0.50663234
  7125.8000        1.0015697       0.48275567       0.48275567       0.33845648E-59   0.13962269E-43   0.51881406
  7126.0000        1.0143853       0.48334172       0.48334172       0.81378412E-61   0.59844098E-45   0.53104355
  7126.2000        1.0262268       0.48389982       0.48389982       0.18585945E-62   0.24408685E-46   0.54232699
  7126.4000        1.0363288       0.48443191       0.48443191       0.40320798E-64   0.94738208E-48   0.55189684
  7126.6000        1.0491232       0.48493977       0.48493977       0.83088832E-66   0.34991589E-49   0.56418344
  7126.8000        1.0592348       0.48542499       0.48542499       0.16263920E-67   0.12298719E-50   0.57380983
  7127.0000        1.0670917       0.48588905       0.48588905       0.30239659E-69   0.41135221E-52   0.58120263
  7127.2000        1.0772212       0.48633330       0.48633330       0.53406926E-71   0.13092588E-53   0.59088787
  7127.4000        1.0866319       0.48675897       0.48675897       0.89595733E-73   0.39654721E-55   0.59987289
  7127.6000        1.0952335       0.48716720       0.48716720       0.14277301E-74   0.11429363E-56   0.60806632
  7127.8000        1.1028974       0.48755904       0.48755904       0.21610956E-76   0.31347784E-58   0.61533831
  7128.0000        1.1092180       0.48793544       0.48793544       0.31072120E-78   0.81818101E-99   0.62128251
  7128.2000        1.1151696       0.48829731       0.48829731       0.42436236E-80   0.20321215E-61   0.62687232
  7128.4000        1.1206822       0.48864545       0.48864545       0.55051844E-82   0.48029457E-63   0.63203673
  7128.6000        1.1263972       0.48898064       0.48898064       0.67838453E-84   0.10802478E-64   0.63741652
  7128.8000        1.1339141       0.48930358       0.48930358       0.79405221E-86   0.23120480E-66   0.64461057
  7129.0000        1.1357975       0.48961493       0.48961493       0.88285877E-88   0.47089925E-68   0.64618255
  7129.2000        1.1400335       0.48991530       0.48991530       0.93240043E-90   0.91267654E-70   0.65011824
  7129.4000        1.1414305       0.49020525       0.49020525       0.93536851E-92   0.16833076E-71   0.65122523
  7129.6000        1.1423149       0.49048533       0.49048533       0.89131678E-94   0.29543900E-73   0.65182958
  7129.8000        1.1476886       0.49075601       0.49075601       0.80677136E-96   0.49343492E-75   0.65693260
  7130.0000        1.1486229       0.49101778       0.49101778       0.69364604E-98   0.78424120E-77   0.65760516
