# Athena multicolumn data file -- Athena version 0.8.061
# This file contains normalized mu(E) from:
# AII_-25 (column 2)
# AII_45 (column 3)
#------------------------
#  energy  AII__25  AII_45
  7296.6980        1.0036884       0.99454257
  7300.9630        1.0042852       0.99365955
  7305.2770        1.0035028       0.99317458
  7309.6390        1.0047598       0.98993342
  7314.0500        1.0044723       0.98847381
  7318.5100        1.0043221       0.98978072
  7323.0190        1.0059999       0.98815229
  7327.5760        1.0036559       0.98893209
  7332.1820        1.0067417       0.98743924
  7336.8360        1.0028694       0.98621632
  7341.5400        1.0116787       0.98906084
  7346.2920        1.0128566       0.98625027
  7351.0920        1.0157407       0.98983648
  7355.9420        1.0111610       0.98841842
  7360.8400        1.0136616       0.98775907
  7365.7870        1.0116827       0.98806256
  7370.7820        1.0078544       0.98543968
  7375.8260        1.0136935       0.98675775
  7380.9190        1.0120868       0.99086491
  7386.0600        1.0123673       0.98838475
  7391.2500        1.0084848       0.99012338
  7396.4890        1.0156893       0.99002611
  7401.7770        1.0131201       0.98893610
  7407.1130        1.0158639       0.99148128
  7412.4980        1.0094902       0.97734597
  7417.9320        1.0162909       0.98986403
  7423.4140        1.0145226       0.98315869
  7428.9450        1.0084963       0.98479474
  7434.5240        1.0136680       0.98967024
  7440.1530        1.0001472       0.99020322
  7445.8300        1.0088945       0.98684871
  7451.5550        1.0085636       0.98435388
  7457.3300        1.0079533       0.97637301
  7463.1530        1.0062715       0.98054707
  7469.0240        1.0078603       0.98125699
  7474.9450       0.99842809       0.98241645
  7480.9140        1.0032809       0.97715297
  7486.9320        1.0142676       0.98590530
  7492.9990        1.0175024       0.97783872
