# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-9:1] (relative to centroid of step function)
# .
# Fit included 50 data points and 5 variables
# R-factor = 0.00019, chi-square = 0.00016, reduced chi-square = 0.0000035
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    0.61)  0.471( 0.036)  1.258( 0.019)
# gauss           7113.25(    0.00)  0.144( 0.002)  0.750( 0.000)
# gauss           7111.50(    0.00)  0.057( 0.002)  0.750( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7110.2000       0.30986334E-01   0.31250982E-01   0.24495928E-01   0.19586247E-04   0.67354681E-02  -0.26464845E-03
  7110.4000       0.34350151E-01   0.35518045E-01   0.25142444E-01   0.55908506E-04   0.10319693E-01  -0.11678935E-02
  7110.6000       0.39652054E-01   0.40698225E-01   0.25823665E-01   0.14863510E-03   0.14725925E-01  -0.10461707E-02
  7110.8000       0.45323818E-01   0.46481561E-01   0.26542432E-01   0.36802872E-03   0.19571100E-01  -0.11577432E-02
  7111.0000       0.51167034E-01   0.52375664E-01   0.27301902E-01   0.84870913E-03   0.24225052E-01  -0.12086299E-02
  7111.2000       0.57193964E-01   0.57855884E-01   0.28105591E-01   0.18228582E-02   0.27927435E-01  -0.66191933E-03
  7111.4000       0.61737536E-01   0.62589521E-01   0.28957424E-01   0.36463951E-02   0.29985701E-01  -0.85198493E-03
  7111.6000       0.66173846E-01   0.66640970E-01   0.29861803E-01   0.67934659E-02   0.29985701E-01  -0.46712442E-03
  7111.8000       0.71579868E-01   0.70538991E-01   0.30823671E-01   0.11787886E-01   0.27927435E-01   0.10408769E-02
  7112.0000       0.76362994E-01   0.75123755E-01   0.31848603E-01   0.19050100E-01   0.24225052E-01   0.12392384E-02
  7112.2000       0.82414773E-01   0.81187157E-01   0.32942905E-01   0.28673153E-01   0.19571100E-01   0.12276155E-02
  7112.4000       0.91194727E-01   0.89034518E-01   0.34113737E-01   0.40194856E-01   0.14725925E-01   0.21602091E-02
  7112.6000       0.10020753       0.98167565E-01   0.35369260E-01   0.52478612E-01   0.10319693E-01   0.20399698E-02
  7112.8000       0.10884454       0.10726756       0.36718812E-01   0.63813275E-01   0.67354681E-02   0.15769898E-02
  7113.0000       0.11559594       0.11453723       0.38173120E-01   0.72269753E-01   0.40943564E-02   0.10587085E-02
  7113.2000       0.11872592       0.11829138       0.39744567E-01   0.76228776E-01   0.23180369E-02   0.43454217E-03
  7113.4000       0.11676102       0.11755536       0.41447508E-01   0.74885572E-01   0.12222833E-02  -0.79434627E-03
  7113.6000       0.11076101       0.11241528       0.43298670E-01   0.68516347E-01   0.60026115E-03  -0.16542650E-02
  7113.8000       0.10106310       0.10397797       0.45317640E-01   0.58385779E-01   0.27455253E-03  -0.29148708E-02
  7114.0000       0.91973844E-01   0.93982382E-01   0.47527476E-01   0.46337948E-01   0.11695734E-03  -0.20085381E-02
  7114.2000       0.81941896E-01   0.84253678E-01   0.49955478E-01   0.34251797E-01   0.46403033E-04  -0.23117822E-02
  7114.4000       0.76130689E-01   0.76231455E-01   0.52634148E-01   0.23580160E-01   0.17146760E-04  -0.10076590E-03
  7114.6000       0.72349001E-01   0.70727450E-01   0.55602412E-01   0.15119136E-01   0.59011225E-05   0.16215517E-02
  7114.8000       0.69863913E-01   0.67937735E-01   0.58907168E-01   0.90286756E-02   0.18914899E-05   0.19261776E-02
  7115.0000       0.69503876E-01   0.67627362E-01   0.62605246E-01   0.50215519E-02   0.56466419E-06   0.18765139E-02
  7115.2000       0.70784010E-01   0.69367222E-01   0.66765895E-01   0.26011697E-02   0.15699771E-06   0.14167876E-02
  7115.4000       0.74284971E-01   0.72728881E-01   0.71473920E-01   0.12549207E-02   0.40654929E-07   0.15560898E-02
  7115.6000       0.78747038E-01   0.77397438E-01   0.76833556E-01   0.56387220E-03   0.98050531E-08   0.13496005E-02
  7115.8000       0.83418388E-01   0.83209135E-01   0.82973160E-01   0.23597280E-03   0.22024371E-08   0.20925354E-03
  7116.0000       0.90949896E-01   0.90142518E-01   0.90050545E-01   0.91972931E-04   0.46075911E-09   0.80737771E-03
  7116.2000       0.99570205E-01   0.98291763E-01   0.98258376E-01   0.33386812E-04   0.89776192E-10   0.12784421E-02
  7116.4000       0.10902463       0.10783934       0.10782805       0.11287733E-04   0.16291657E-10   0.11852883E-02
  7116.6000       0.12017833       0.11903216       0.11902860       0.35543101E-05   0.27535070E-11   0.11461739E-02
  7116.8000       0.13365750       0.13215490       0.13215386       0.10423672E-05   0.43343497E-12   0.15025994E-02
  7117.0000       0.14798180       0.14748697       0.14748669       0.28471020E-06   0.63544584E-13   0.49483211E-03
  7117.2000       0.16379158       0.16522612       0.16522605       0.72427272E-07   0.86766078E-14  -0.14345414E-02
  7117.4000       0.18538641       0.18536999       0.18536997       0.17160031E-07   0.11034134E-14   0.16422985E-04
  7117.6000       0.20588507       0.20757866       0.20757866       0.37866124E-08   0.13069030E-15  -0.16935888E-02
  7117.8000       0.22832152       0.23109724       0.23109723       0.77821658E-09   0.14416681E-16  -0.27757113E-02
  7118.0000       0.25298009       0.25484212       0.25484212       0.14895906E-09   0.14811671E-17  -0.18620331E-02
  7118.2000       0.27537847       0.27766758       0.27766758       0.26555240E-10   0.14172931E-18  -0.22891075E-02
  7118.4000       0.29816962       0.29867049       0.29867049       0.44091041E-11   0.12630837E-19  -0.50086397E-03
  7118.6000       0.32351482       0.31735318       0.31735318       0.68181621E-12   0.10483865E-20   0.61616398E-02
  7118.8000       0.34436308       0.33359867       0.33359867       0.98197658E-13   0.81045247E-22   0.10764409E-01
  7119.0000       0.36456360       0.34754444       0.34754444       0.13172001E-13   0.58351297E-23   0.17019156E-01
  7119.2000       0.38430109       0.35945208       0.35945208       0.16455809E-14   0.39128240E-24   0.24849018E-01
  7119.4000       0.40437132       0.36961713       0.36961713       0.19147125E-15   0.24436947E-25   0.34754192E-01
  7119.6000       0.42353262       0.37832067       0.37832067       0.20749360E-16   0.14214135E-26   0.45211943E-01
  7119.8000       0.44204786       0.38580921       0.38580921       0.20942219E-17   0.77003547E-28   0.56238654E-01
  7120.0000       0.46208031       0.39229005       0.39229005       0.19686002E-18   0.38852403E-29   0.69790260E-01
  7120.2000       0.48011113       0.39793384       0.39793384       0.17234917E-19   0.18257523E-30   0.82177292E-01
  7120.4000       0.49724715       0.40287965       0.40287965       0.14053280E-20   0.79906606E-32   0.94367502E-01
  7120.6000       0.51698384       0.40724042       0.40724042       0.10672423E-21   0.32571694E-33   0.10974342
  7120.8000       0.53678392       0.41110795       0.41110795       0.75485788E-23   0.12365590E-34   0.12567597
  7121.0000       0.55678491       0.41455706       0.41455706       0.49726078E-24   0.43722619E-36   0.14222785
  7121.2000       0.57728819       0.41764907       0.41764907       0.30508443E-25   0.14398403E-37   0.15963912
  7121.4000       0.59750112       0.42043443       0.42043443       0.17433024E-26   0.44161045E-39   0.17706669
  7121.6000       0.61716076       0.42295495       0.42295495       0.92777412E-28   0.12614824E-40   0.19420581
  7121.8000       0.63768845       0.42524545       0.42524545       0.45986315E-29   0.33561384E-42   0.21244301
  7122.0000       0.66135441       0.42733509       0.42733509       0.21229111E-30   0.83160172E-44   0.23401932
