# data from ifeffit
# kmin =    2.5000000     
# kmax =    13.000000     
# dk1 =    1.5000000     
# dk2 =    1.5000000     
# kweight =    2.0000000     
# rmin =   0.90000000     
# rmax =    2.0000000     
# dr1 =   0.20000000     
# dr2 =   0.20000000     
#------------------------
#   q         chiq_re      chiq_im      chik_win
  6.8000000      -0.11441135       0.28889742E-01   -1.2308442
  6.8500000      -0.11333068       0.87679100E-02   -1.0557534
  6.9000000      -0.10895593      -0.10311362E-01  -0.80077301
  6.9500000      -0.10158652      -0.27835900E-01  -0.52204796
  7.0000000      -0.91597871E-01  -0.43361729E-01  -0.23459187
  7.0500000      -0.79427348E-01  -0.56523762E-01   0.26783873E-01
  7.1000000      -0.65558874E-01  -0.67043771E-01   0.23085564
  7.1500000      -0.50506597E-01  -0.74735467E-01   0.37740541
  7.2000000      -0.34798217E-01  -0.79506633E-01   0.47820528
  7.2500000      -0.18958470E-01  -0.81358326E-01   0.54532947
  7.3000000      -0.34932624E-02  -0.80381275E-01   0.57743861
  7.3500000       0.11125065E-01  -0.76749656E-01   0.57387956
  7.4000000       0.24470944E-01  -0.70712538E-01   0.53924569
  7.4500000       0.36176877E-01  -0.62583320E-01   0.47445263
  7.5000000       0.45942561E-01  -0.52727564E-01   0.38071367
  7.5500000       0.53541607E-01  -0.41549636E-01   0.26872994
  7.6000000       0.58825737E-01  -0.29478626E-01   0.14021465
  7.6500000       0.61726398E-01  -0.16953995E-01   0.18815582E-01
  7.7000000       0.62253851E-01  -0.44114155E-02  -0.76845372E-01
  7.7500000       0.60493814E-01   0.77307700E-02  -0.13477969
  7.8000000       0.56601877E-01   0.19084060E-01  -0.14735801
  7.8500000       0.50795920E-01   0.29300922E-01  -0.14951602
  7.9000000       0.43346848E-01   0.38084225E-01  -0.17182629
  7.9500000       0.34567988E-01   0.45194759E-01  -0.21488246
  8.0000000       0.24803529E-01   0.50456638E-01  -0.26009738
  8.0500000       0.14416405E-01   0.53760519E-01  -0.29580365
  8.1000000       0.37760220E-02   0.55064585E-01  -0.31104202
  8.1500000      -0.67537741E-02   0.54393359E-01  -0.26244465
  8.2000000      -0.16826120E-01   0.51834446E-01  -0.21472279
  8.2500000      -0.26121599E-01   0.47533386E-01  -0.13333428
  8.3000000      -0.34357447E-01   0.41686851E-01  -0.43225553E-01
  8.3500000      -0.41295261E-01   0.34534452E-01   0.10180201
  8.4000000      -0.46746998E-01   0.26349480E-01   0.22306169
  8.4500000      -0.50579154E-01   0.17428899E-01   0.31804756
  8.5000000      -0.52715034E-01   0.80829571E-02   0.38651688
  8.5500000      -0.53135124E-01  -0.13752531E-02   0.40683024
  8.6000000      -0.51875610E-01  -0.10639940E-01   0.36841146
  8.6500000      -0.49025167E-01  -0.19422147E-01   0.28835050
  8.7000000      -0.44720178E-01  -0.27458396E-01   0.16639340
  8.7500000      -0.39138597E-01  -0.34518184E-01   0.25963959E-01
  8.8000000      -0.32492702E-01  -0.40410150E-01  -0.13927806
  8.8500000      -0.25021015E-01  -0.44986735E-01  -0.26955266
  8.9000000      -0.16979683E-01  -0.48147270E-01  -0.33872682
  8.9500000      -0.86336120E-02  -0.49839426E-01  -0.37765823
  9.0000000      -0.24765927E-03  -0.50059054E-01  -0.37597261
  9.0500000       0.79218382E-02  -0.48848472E-01  -0.16343316
  9.1000000       0.15634933E-01  -0.46293319E-01  -0.18867731
  9.1500000       0.22675102E-01  -0.42518132E-01  -0.29160491
  9.2000000       0.28855253E-01  -0.37680837E-01  -0.23245288
  9.2500000       0.34022535E-01  -0.31966367E-01  -0.16346258
  9.3000000       0.38061859E-01  -0.25579674E-01  -0.80265653E-01
  9.3500000       0.40898050E-01  -0.18738349E-01   0.18563204E-01
  9.4000000       0.42496613E-01  -0.11665150E-01   0.12393033
  9.4500000       0.42863157E-01  -0.45806433E-02   0.22845403
  9.5000000       0.42041527E-01   0.23037690E-02   0.30795569
  9.5500000       0.40110779E-01   0.87922454E-02   0.35890387
  9.6000000       0.37181125E-01   0.14710126E-01   0.37948614
  9.6500000       0.33389031E-01   0.19908631E-01   0.37641562
  9.7000000       0.28891670E-01   0.24268511E-01   0.35699886
  9.7500000       0.23860923E-01   0.27702582E-01   0.27825088
  9.8000000       0.18477162E-01   0.30157100E-01   0.15688385
  9.8500000       0.12923015E-01   0.31611971E-01   0.38510518E-01
  9.9000000       0.73773338E-02   0.32079859E-01  -0.78689728E-01
  9.9500000       0.20095471E-02   0.31604242E-01  -0.15481087
  10.000000      -0.30254298E-02   0.30256538E-01  -0.19514877
  10.050000      -0.75915748E-02   0.28132443E-01  -0.20717612
  10.100000      -0.11575320E-01   0.25347614E-01  -0.18220782
  10.150000      -0.14888203E-01   0.22032893E-01  -0.16358766
  10.200000      -0.17468570E-01   0.18329237E-01  -0.14832222
  10.250000      -0.19282297E-01   0.14382540E-01  -0.13108710
  10.300000      -0.20322561E-01   0.10338528E-01  -0.12935025
  10.350000      -0.20608712E-01   0.63378909E-02  -0.12422553
  10.400000      -0.20184300E-01   0.25118136E-02  -0.11394617
  10.450000      -0.19114399E-01  -0.10219720E-02  -0.97189393E-01
  10.500000      -0.17482305E-01  -0.41624932E-02  -0.60935131E-01
  10.550000      -0.15385790E-01  -0.68281215E-02  -0.96239597E-01
  10.600000      -0.12933020E-01  -0.89583800E-02  -0.10257565
  10.650000      -0.10238324E-01  -0.10514944E-01   0.68595652E-01
  10.700000      -0.74179444E-02  -0.11481841E-01   0.91265755E-01
  10.750000      -0.45859149E-02  -0.11864870E-01   0.13988626
  10.800000      -0.18502171E-02  -0.11690304E-01   0.18483347
  10.850000       0.69068145E-03  -0.11002950E-01   0.18157286
  10.900000       0.29507977E-02  -0.98636519E-02   0.15832962
  10.950000       0.48590329E-02  -0.83463622E-02   0.12570437
  11.000000       0.63609448E-02  -0.65348914E-02   0.90884368E-01
  11.050000       0.74198591E-02  -0.45194663E-02   0.54178691E-01
  11.100000       0.80173101E-02  -0.23932231E-02   0.18178063E-01
  11.150000       0.81528266E-02  -0.24876141E-03   0.67955030E-02
  11.200000       0.78430976E-02   0.18251260E-02  -0.59579493E-02
