# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline
  7138.3667        1.1192256        1.1553345      -0.16723766        1.2245887
  7138.6801        1.1232701        1.1556301      -0.16741715        1.2242082
  7139.1016        1.1326786        1.1560165      -0.16765856        1.2236966
  7139.5880        1.1450271        1.1564465      -0.16793715        1.2231064
  7139.9664        1.1576786        1.1567693      -0.16815385        1.2226474
  7140.3015        1.1711663        1.1570467      -0.16834581        1.2222410
  7140.6043        1.1846449        1.1572906      -0.16851921        1.2218739
  7141.1017        1.2032606        1.1576774      -0.16880411        1.2212710
  7141.5451        1.2161074        1.1580079      -0.16905808        1.2207337
  7141.9670        1.2251375        1.1583098      -0.16929969        1.2202227
  7142.3456        1.2293467        1.1585705      -0.16951655        1.2197642
  7142.6810        1.2305564        1.1587934      -0.16970864        1.2193581
  7143.0165        1.2285678        1.1590088      -0.16990075        1.2189521
  7143.5034        1.2203257        1.1593084      -0.17017965        1.2183629
  7143.9688        1.2097022        1.1595803      -0.17044620        1.2178000
  7144.3693        1.1974111        1.1598030      -0.17067558        1.2173157
  7144.6616        1.1865185        1.1599591      -0.17084299        1.2169624
  7145.0081        1.1728950        1.1601371      -0.17104141        1.2165436
  7145.5061        1.1548904        1.1603798      -0.17132668        1.2159418
  7145.9285        1.1390832        1.1605735      -0.17156857        1.2154317
  7146.1342        1.1320942        1.1606639      -0.17168642        1.2151832
  7147.1308        1.0998926        1.1610653      -0.17225719        1.2139803
  7148.3769        1.0672428        1.1614840      -0.17297088        1.2124774
  7149.4825        1.0462001        1.1617804      -0.17360411        1.2111451
  7150.7729        1.0305708        1.1620399      -0.17434313        1.2095915
  7151.9661        1.0203347        1.1621998      -0.17502651        1.2081562
  7153.2031        1.0129244        1.1622872      -0.17573499        1.2066694
  7154.5382        1.0093910        1.1622953      -0.17649969        1.2050662
  7155.7110        1.0107830        1.1622315      -0.17717138        1.2036593
  7157.0580        1.0182706        1.1620796      -0.17794286        1.2020448
  7158.3621        1.0302146        1.1618560      -0.17868974        1.2004833
  7159.6775        1.0426520        1.1615576      -0.17944313        1.1989096
  7161.1349        1.0576181        1.1611459      -0.18027780        1.1971680
  7162.3752        1.0716599        1.1607317      -0.18098818        1.1956872
  7163.8554        1.0946207        1.1601651      -0.18183598        1.1939217
  7165.2383        1.1318477        1.1595688      -0.18262800        1.1922740
