# data from ifeffit
#------------------------
#   r         chir_mag      chir_mag      chir_real      chir_real
  3.8963112       0.10002496       0.56506503E-02   -1.0932375      -0.99808573
  3.9269908       0.90866887E-01   0.49075228E-02   -1.0724151      -0.99630658
  3.9576704       0.83514713E-01   0.38023223E-02   -1.0544995      -0.99625912
  3.9883500       0.82684980E-01   0.24895284E-02   -1.0435970      -0.99775298
  4.0190297       0.91475746E-01   0.12613628E-02   -1.0345776      -0.99980792
  4.0497093       0.10915651       0.12016841E-02   -1.0156115       -1.0012003
  4.0803889       0.13288705       0.22481509E-02  -0.97568374       -1.0011204
  4.1110685       0.16006384       0.32665925E-02  -0.91322702      -0.99958993
  4.1417481       0.18879659       0.40245588E-02  -0.84100057      -0.99742659
  4.1724277       0.21761050       0.44570405E-02  -0.78388072      -0.99578785
  4.2031074       0.24516749       0.45480116E-02  -0.76963635      -0.99554769
  4.2337870       0.27013838       0.43119967E-02  -0.81639525      -0.99684062
  4.2644666       0.29119388       0.37874092E-02  -0.92253668      -0.99900951
  4.2951462       0.30706841       0.30349264E-02   -1.0640822       -1.0009734
  4.3258258       0.31665758       0.21475973E-02   -1.2015026       -1.0018093
  4.3565054       0.31911850       0.13208954E-02   -1.2936338       -1.0012328
  4.3871851       0.31395151       0.11303899E-02   -1.3130686      -0.99972691
  4.4178647       0.30104986       0.17820483E-02   -1.2565417      -0.99825837
  4.4485443       0.28071170       0.25875461E-02   -1.1458805      -0.99774433
  4.4792239       0.25361551       0.32533030E-02   -1.0191421      -0.99855904
  4.5099035       0.22076507       0.36676999E-02  -0.91574599       -1.0003435
  4.5405831       0.18341513       0.37722781E-02  -0.86187792       -1.0022130
  4.5712627       0.14299374       0.35443223E-02  -0.86210183       -1.0032437
  4.6019424       0.10105383       0.29971354E-02  -0.90022697       -1.0029729
  4.6326220       0.59399384E-01   0.21865100E-02  -0.94840055       -1.0016432
  4.6633016       0.22418565E-01   0.12517574E-02  -0.97999753       -1.0000651
  4.6939812       0.28289954E-01   0.82613276E-03  -0.98061119      -0.99917394
  4.7246608       0.61180799E-01   0.16342232E-02  -0.95273347      -0.99952364
  4.7553404       0.91834921E-01   0.26502976E-02  -0.91280079       -1.0009869
  4.7860201       0.11785666       0.35111729E-02  -0.88266299       -1.0028213
  4.8166997       0.13847368       0.40944463E-02  -0.87969341       -1.0040625
  4.8473793       0.15331475       0.43340452E-02  -0.90985764       -1.0040344
  4.8780589       0.16228783       0.42061832E-02  -0.96626972       -1.0027045
  4.9087385       0.16556081       0.37290555E-02   -1.0330969       -1.0006993
  4.9394181       0.16355202       0.29636162E-02   -1.0924255      -0.99897328
  4.9700978       0.15690788       0.20222248E-02   -1.1308250      -0.99831186
  5.0007774       0.14645860       0.11506576E-02   -1.1430451      -0.99892926
  5.0314570       0.13314959       0.10822635E-02   -1.1319849       -1.0003719
  5.0621366       0.11795496       0.18148462E-02   -1.1058336       -1.0017725
  5.0928162       0.10179299       0.25558093E-02   -1.0742535       -1.0023158
  5.1234958       0.85486059E-01   0.30682595E-02   -1.0453523       -1.0016664
  5.1541754       0.69847472E-01   0.32785025E-02   -1.0242580       -1.0001357
  5.1848551       0.56050119E-01   0.31725151E-02   -1.0130465      -0.99850284
  5.2155347       0.46442081E-01   0.27810975E-02   -1.0111891      -0.99759145
  5.2462143       0.44841257E-01   0.21797687E-02   -1.0158498      -0.99782982
  5.2768939       0.53041549E-01   0.15131167E-02   -1.0220054      -0.99902732
  5.3075735       0.68259502E-01   0.11112623E-02   -1.0229651       -1.0004829
  5.3382531       0.86978157E-01   0.13706948E-02   -1.0119300       -1.0013637
  5.3689328       0.10681968       0.19681838E-02  -0.98463981       -1.0011503
  5.3996124       0.12612878       0.25368263E-02  -0.94224166      -0.99991189
  5.4302920       0.14361611       0.29458136E-02  -0.89286809      -0.99826825
  5.4609716       0.15827077       0.31513340E-02  -0.85055613      -0.99706143
  5.4916512       0.16938509       0.31504611E-02  -0.83115978      -0.99691409
  5.5223308       0.17660299       0.29665241E-02  -0.84639565      -0.99790760
  5.5530105       0.17995001       0.26404073E-02  -0.89835875      -0.99954750
  5.5836901       0.17982292       0.22245004E-02  -0.97705980       -1.0010302
  5.6143697       0.17692502       0.17821059E-02   -1.0625135       -1.0016663
  5.6450493       0.17214008       0.13989092E-02   -1.1310163       -1.0012353
  5.6757289       0.16635143       0.12005520E-02   -1.1633406       -1.0000869
  5.7064085       0.16023836       0.12840716E-02   -1.1515613      -0.99894040
  5.7370881       0.15411439       0.15770693E-02   -1.1016686      -0.99849298
  5.7677678       0.14788364       0.19370876E-02   -1.0308647      -0.99904751
  5.7984474       0.14115336       0.22652275E-02  -0.96072718       -1.0003563
  5.8291270       0.13347122       0.24979122E-02  -0.90919390       -1.0017602
  5.8598066       0.12461201       0.25910515E-02  -0.88475749       -1.0025442
  5.8904862       0.11485068       0.25178958E-02  -0.88514937       -1.0023194
  5.9211658       0.10518485       0.22736337E-02  -0.90068003       -1.0012264
  5.9518455       0.97418111E-01   0.18846721E-02  -0.92028581      -0.99985609
  5.9825251       0.93810171E-01   0.14313585E-02  -0.93720985      -0.99893334
  6.0132047       0.95960758E-01   0.11123019E-02  -0.95161919      -0.99893249
  6.0438843       0.10358696       0.12149966E-02  -0.96910775      -0.99983081
  6.0745639       0.11465698       0.16532634E-02  -0.99612393       -1.0011274
  6.1052435       0.12658981       0.21353191E-02   -1.0348665       -1.0021144
  6.1359232       0.13712231       0.24983247E-02   -1.0803971       -1.0022541
